Task,Description,Setting
Make coffee_4_7,COFFEEMACHINE TO PRODUCE THE COFFEE AND TAKE A CUP AND PLATE TO INLET OF COFFEE AND MIX BY SPOON,
Wash Dishes_4_7,"SINK BASIN, SINK, PLATES AND BOWLS ARE WASHED BY DISHSPONGE",
Prepare sliced apple_4_7,TAKE A APPLE WASHED BY SINK AND SLICED BY KNIFE,
Toast a bread_4_7,TAKE A BREAD AND USED BY PAN AND TOASTED BY MICROWAVE,
Fry an egg_4_7,TAKE A PAN AND PUT IN BY EGG TO FRY BY GAS BURNER,
Make tomato soup_4_7,TAKE A BOWL AND SLICED BY TOMATO PUT IN BOWL MIXED BY WATER AND ADD PEPPER SHAKER AND MIXED BY SPOON AND PREPARED BY GAS BURNER,
Make lettuce soup_4_7,TAKE LETTUCE AND SLICED BY KNIFE AND PUT IN BOWL MIXED BY SPOON PREPARED BY GAS BURNER AND ADD SALT SHAKER AND PEPPER SHAKER,
Boil water with pot_4_7,TAKE A WATER WITH POT PREPARED BY A GAS BURNER USE BY POT,
Throw away cracked egg_4_7,TAKE A CRACKED EDD AND THROW IT IN THE BIN,
Clear the fridge_4_7,TAKE OUT ALL THE FOOD FROM THE FRIDGE AND PUT IT ON THE TABLE,
Microwave the sliced potato_16_7,Find the potato. Slice the potato with a knife. Place the potato on a plate. Put the plate in the microwave. Press the time on the microwave.,
Pour wine into a cup_16_7,Find the wine. Fine the cup. Open the bottle of wine. Pour the wine into the cup.,
Store food into fridge_16_7,Find the food. Carry the food over to the fridge. Open the fridge and place the food inside.,
Fill up cup with water_16_7,Find cup. Walk to the sink. Turn on the faucet and fill the cup with water.,
Boil Potato_16_7,Find the potato. Find the pot. Take pot over to the sink and fill it up. Place potato in the pot. Take pot over to the stove. Turn stove on. Place pot on stove.,
Throw away unused apple slice_16_7,Find apple slices. Pick the apple slice up. Take apple slices over to the trash can. Place apple slice in the trash can.,
Keep kitchen utensils inside drawer_16_7,Find all kitchen utensils. Place the utensils in the drawer.,
Pour away coffee in a cup_16_7,Take the cup of coffee which was left unused from the kitchen and pour it in sink basin.,
Pour away water from pot_16_7,FInd the pit. Take pot over to the sink. Dump water from the pot into the sink.,
Off kitchen light_16_7,Find the kitchen light. Flip the light switch down.,
Use laptop_202_7,Find the laptop on the table and turn it on.,
Watch television_202_7,"Firstly, go to the coffee Table then pick the Remote and turn on the Television. Watch television",
Check the timing on the watch_202_7,"Go to the watch, take it, and look at it.",
Pack things into the box_201_7,"FIRST COLLECT THE THINGS YOU WANT TO PACK , OPEN THE BOX , PUT THE THINGS INSIDE THE BOX ACCORDING TO THE RESPECTED SIZE .",
Throw away used tissuebox_201_7,"LOOK AROUND THE ROOM FIND THE TISSUE BOX CHECK WHETHER IT IS EMPTY , IF EMPTY THROW IT INTO THE BIN",
Turn off the table lamp or desk lamp_204_7,Walk over the desk. Turn the desk lamp to off.,
Crack the handphone screen_204_7,Locate the cell phone. Take the cell phone and smash it against the desk until the screen is cracked.,
Use the handphone_204_7,Locate the cell phone. Use the cell phone.,
Clear the sofa_204_7,Remove the pillow from the sofa and place it on the arm chair.,
Read a book_201_7,Go to the long table. Pick up the book. Open it.,
