Task,Description,Setting
Make coffee_7_5,Find the coffee machine and with the help of a mug pour a hot cup of coffee.,
Wash Dishes_7_5,Take a soap bottle with dish sponge and clean the dirty plates and bowls in the sink basin.,
Prepare sliced apple_7_5,Find an apple in the room and cut it with a knife.,
Toast a bread_7_5,Find some bread in the room and toast it in a toaster.,
Fry an egg_7_5,"Find a pan and an egg,turn on the stove knob and on the counter top",
Make tomato soup_7_5,"slice some tomatoes, and add it into a pot and boil it till it become a soup.",
Make lettuce soup_7_5,"slice some lecttuce, and add it into a pot and boil it till it become a soup.",
Boil water with pot_7_5,Find a pot and add some water to boil it on a counter top.,
Throw away cracked egg_7_5,"Find the cracked eggs in the room and once found check for broken one,if found throw it in the dustbin.",
Clear the fridge_7_5,Throw away all the spoiled products.,
Microwave the sliced potato_20_5,Pick up potato in the room. Use knife to slice potato. Put potato onto a plate. Put plate into microwave. Microwave to desired doneness.,
Pour wine into a cup_20_5,Locate winebottle in room. Pour wine into cup.,
Store food into fridge_20_5,Find egg in room. Put in fridge. Find lettuce in room. Put in fridge.,
Fill up cup with water_20_5,Find cup in room. Go to sink. Turn on faucet to fill cup.,
Boil Potato_20_5,Find potato in room. Peel potato with knife. Find pot in room. Go to sink. Fill pot with water from faucet. Place pot on stove. Run on stove knob range. Boil potato in water to desired doneness.,
Throw away unused apple slice_20_5,Locate apple slices in room. Pick up apple slices. Carry to bin and place inside.,
Keep kitchen utensils inside drawer_20_5,"Find butterknife in room. Open drawer and place inside, leaving drawer open. Find fork in room. Place inside drawer. Find knife in room. Place inside drawer. Find spatula in room. Place inside drawer. Find spoon in room. Place inside drawer. Close drawer.",
Pour away coffee in a cup_20_5,Find cup in room. Take cup to coffeemachine. Pour coffee into cup.,
Pour away water from pot_20_5,Find pot of water in room. Pick up pot. Walk to sink. Pour water into sinkbasin.,
Off kitchen light_20_5,Locate lightswitch in kitchen. Walk to lightswitch. Flip lightswitch into off position.,
Use laptop_201_5,Move laptop closer. Touch the laptop to activate it.,
Watch television_201_5,Locate remote. Walk to remote. Pick up remote. Walk to sofa. Face the television. Press the power button on the remote. Sit on sofa. Observe the television.,
Check the timing on the watch_201_5,Find the watch. Then check the timing on the watch,
Pack things into the box_225_5,"Put the tissue box into the box. Also the credit card, the keychain, the remote, and the fertility statue.",
Throw away used tissuebox_225_5,Pick up the tissue box that in on the coffee table next to the box and throw into the bin.,
Turn off the table lamp or desk lamp_218_5,Find the table lamp. Turn the table lamp off.,
Crack the handphone screen_218_5,Find the hand phone. Take the hand phone as smash it against the dog statue until it's cracked.,
Use the handphone_218_5,Find and pick up the hand phone. Use the hand phone.,
Clear the sofa_218_5,Remove all of the objects that are on the sofa and place them on the chair.,
Read a book_224_5,Locate book in room. Walk to book. Pick up book. Walk to sofa. Sit on sofa. Read book.,
