Task,Description,Setting
Make coffee_2_6,Find the coffee machine and make some coffee.,
Wash Dishes_2_6,"Find some plates and bowls and if they are dirty,clean them with a dish sponge.",
Prepare sliced apple_2_6,Find an apple and slice it with a knife.,
Toast a bread_2_6,Find a bread and put it in a toaster to toast it.,
Fry an egg_2_6,Find a egg and fry it on the pan using a spatula,
Make tomato soup_2_6,Slice the tomato and then add it into a pot with water for boiling,
Make lettuce soup_2_6,Cut some lettuce using knife and boil it in a pot on gas burner.Pour some salt and pepper using shakers.,
Boil water with pot_2_6,Take some water in a pot and keep it on a gas burner to boil it.,
Throw away cracked egg_2_6,Find some eggs in the room and if some cracked eggs found then throw them in the bin.,
Clear the fridge_2_6,Find the fridge and remove the rotten foods and drop them in the bin.,
Microwave the sliced potato_15_6,Firstly transfer all the potato slices into a bowl. Now put the bowl inside the microwave oven and set the timer and temperature on it. After the time completes open the microwave and take out the bowl.,
Pour wine into a cup_15_6,Firstly take a clean cup. Open the wine bottle and pour required amount of wine into the cup. Then close the wine bottle.,
Store food into fridge_15_6,"Take the food (apple, bread, egg, lettuce, tomato etc) and open the fridge door. Now keep the food inside the fridge and close fridge door.",
Fill up cup with water_15_6,Firstly take a clean cup. Take the mug and pour required amount of water into the cup.,
Boil Potato_15_6,Pick up the potato that is next to bread by the window and put in pot that is sitting on the stove. Fill pot with water and use the stove knob to turn it on to boil.,
Throw away unused apple slice_15_6,Take all the unused apple slices and throw them away in the bin.,
Keep kitchen utensils inside drawer_15_6,"Take all the kitchen utensils (like bowl, butter knife, cup, knife, plate, spoon, spatula etc). Open the drawer and keep all these things in it. Then close the drawer.",
Pour away coffee in a cup_15_6,Take the cup of coffee and pour the coffee into the sink.,
Pour away water from pot_15_6,Take the pot and pour away the water inside it into the sink.,
Off kitchen light_15_6,Switch off the light switch in the kitchen.,
Use laptop_219_6,Find the laptop and use it,
Watch television_219_6,Take the remote and switch on the television to watch,
Check the timing on the watch_219_6,locate the watch and see the time,
Pack things into the box_219_6,Take all things one by one to pack into a box,
Throw away used tissuebox_219_6,Locate the used tissue box and throw it,
Turn off the table lamp or desk lamp_219_6,Find the switch of the table lamp and turn it off,
Crack the handphone screen_219_6,Drop the hand phone and check if the screen is cracked,
Use the handphone_219_6,Locate the handphone and pick up the dial to use it,
Clear the sofa_219_6,"Look for the sofa, and if there is anything of the sofa then clear it.",
Read a book_202_6,Walk to coffee table. Pick up book. Hold book with cover facing up. Open book to first page.,
