Task,Description,Setting
Make coffee_7_10,Put the mug under the coffeemachine and turn it on,
Wash Dishes_7_10,Turn on the facuest and wash the plate and bowl.,
Prepare sliced apple_7_10,Slice the apple with a knife,
Toast a bread_7_10,"Find a butter knife to cut the bread, and take a slice to the toaster for toasting",
Fry an egg_7_10,Crack the egg and cook it on pan,
Make tomato soup_7_10,add water into pot over the faucet and the put tomato into it.,
Make lettuce soup_7_10,"Slice the lettuce , and add water into the pot, and put the tomato in and boil it",
Boil water with pot_7_10,"on the stove, place the pot with water on it and boil",
Throw away cracked egg_7_10,Throw the cracked egg into the bin,
Clear the fridge_7_10,Clear out all the food from the fridge,
Microwave the sliced potato_20_10,remove potato from the cabinet and put it on the countertop. Take a knife from the drawer and slice it. Put the slices on a plate and put the plate in the microwave. Set the microwave for the appropriate time and start it.,
Pour wine into a cup_20_10,"Find the bottle of wine, and a cup from the cabinet. Open the bottle and pour wine into the cup.",
Store food into fridge_20_10,Place the food items on the counter. Open the fridge and put the items into the fridge one by one.,
Fill up cup with water_20_10,Take a cup from the cabinet and put it under the faucet. Turn the faucet on and fill the cup.,
Boil Potato_20_10,Take a potato and a pot from the cabinet. Put the pot under the faucet and fill it with water. Put the pot and water on the stove and use the knob to turn it on. When the water is boiling add the potato.,
Throw away unused apple slice_20_10,Find the unused apple slices and put them in the bin.,
Keep kitchen utensils inside drawer_20_10,"Find the butter knife, fork, knife,spatula and spoon. Open the drawer and put them all in the drawer.",
Pour away coffee in a cup_20_10,Pick up the coffee cup and take it to the sink. Pour the coffee into the sink. Put the empty cup into the sink.,
Pour away water from pot_20_10,Pick up the pot and take it to the sink. Pour the water into the sink. Put the empty pot in the sink.,
Off kitchen light_20_10,Find the light switch. Turn it to the off position.,
Use laptop_201_10,"Sit down on chair, open laptop and type",
Watch television_201_10,"Sit down on sofa, pick up remote, turn on television",
Check the timing on the watch_201_10,"Find the watch in the room, and look at the timing.",
Pack things into the box_225_10,"Fetch the credit card,key chain,remote and newspaper and put them inside the box.",
Throw away used tissuebox_225_10,Collect the used tissue papers from floor and throw them in the bin.,
Turn off the table lamp or desk lamp_218_10,Turn off the table lamp and desk lamp.,
Crack the handphone screen_218_10,Drop the phone from a height until it cracks,
Use the handphone_218_10,Find the phone and turn it on,
Clear the sofa_218_10,"Check if anything on the sofa, if yess remove them.",
Read a book_224_10,"Find the book in the room, open it to read.",
