Task,Description,Setting
Make coffee_4_4,TAKE A CUP TO THE COFFEMAKER .PUT THE COFFEE,
Wash Dishes_4_4,"FIRSTLY TAKE A DIRTY BOWLS ,SPOON, CUP USED TO SINKBASIN AND WASHING THEM",
Prepare sliced apple_4_4,"FIRST TAKE A APPLE ON THE TABLE ,AND KNIFE CUT THE APPLE",
Toast a bread_4_4,CUT THE BREAD INTO SLICE AND TOAST IT USING A TOASTER.,
Fry an egg_4_4,TAKE A EGG FRY USED A PAN,
Make tomato soup_4_4,"TAKE A TOMATO AND POT, PREPARING A SOUP IN POT",
Make lettuce soup_4_4,"TAKE A LETTUCE AND POT, PREPARING A SOUP IN POT",
Boil water with pot_4_4,TAKE A MUG OF WATER AND BOILED IT IN THE POT,
Throw away cracked egg_4_4,FIND THE EGG . IF SPOILED THROW IT INTO THE BIN,
Clear the fridge_4_4,IF SPOILED FRUITS AND VEGETABLES PUT THE BIN AND CLEAR THE FRIDGE,
Microwave the sliced potato_16_4,Locate knife. Walk to knife. Pick up knife. Locate plate. Walk to plate. Pick up plate. Locate potato. Walk to potato. Place potato on counter top. Pick up potato. Place potato on plate. Use knife to slick through potato. Place knife in sink. Pick up plate. Locate microwave. Walk to microwave. Open microwave's door. Place plate in microwave. Close microwave's door. Activate microwave. Wait for microwave to ding. Open microwave's door. Pick up plate. Place plate on counter top.,
Pour wine into a cup_16_4,Locate cup. Walk to cup. Pick up cup. Locate wine bottle. Walk to wine bottle. Place cup on counter top in front of wine bottle. Unscrew wine bottle's cap. Pick up wine bottle. Tilt wine bottle to allow its contents to drain into cup. Once cup is full straighten wine bottle. Place wine bottle on the counter top. Screw wine bottle's cap back on. Pick up cup.,
Store food into fridge_16_4,"Locate apple. Walk to apple. Pick up apple. Locate egg. Walk to egg. Pick up egg. Locate lettuce. Walk to lettuce. Pick up lettuce. Locate tomato. Walk to tomato. Pick up tomato. Locate fridge. Walk to fridge. Open fridge's door. Place apple, egg, lettuce, and tomato in fridge. Close fridge's door.",
Fill up cup with water_16_4,Locate cup. Walk to cup. Pick up cup. Locate sink. Walk to sink. Place cup in sink basin under the faucet. Activate faucet. Observe cup until it is full. Turn off sink's faucet. Pick up cup.,
Boil Potato_16_4,ocate pan. Walk to pot. Pick up pot. Locate potato. Walk to potato. Place pot on counter top near potato. Pick up potato. Walk to sink. Place potato under faucet. Turn faucet on. Observe that potato is clean. Turn faucet off. Place potato in pot. Locate knife. Walk to knife. Pick up knife. Walk to pot. Slice through potato with knife. Place knife on counter top. Pick up pot. Place pot in sink basin. Turn on faucet. Observe pot until water covers the potato. Turn off faucet. Pick up pot. Locate stove. Walk to stove. Place pot on stove. Activate stove. Wait 15 minutes. Pick up pot. Walk to sink. Empty water into sink basin. Place pot on counter top.,
Throw away unused apple slice_16_4,Locate apple slices. Walk to apple slices. Pick up unused apple slices. Locate bin. Walk to bin. Place unused apple slices in bin.,
Keep kitchen utensils inside drawer_16_4,"Locate butter knife. Walk to butter knife. Pick up butter knife. Locate fork. Walk to fork. Pick up fork. Locate knife. Walk to knife. Pick up knife. Locate spatula. Walk to spatula. Pick up spatula. Locate spoon. Walk to spoon. Pick up spoon. Locate drawer. Walk to drawer. Open drawer. Place butter knife, fork, knife, spatula and spoon in drawer. Close drawer.",
Pour away coffee in a cup_16_4,Locate cup. Walk to cup. Pick up cup. Locate sink. Walk to sink. Place cup over sink's basin. Turn cup over. Wait until all liquids have exited the cup. Turn cup rightside up. Place cup in sink.,
Pour away water from pot_16_4,Locate pot. Walk to pot. Pick up pot. Locate sink. Walk to sink. Hold pot over sink. Flip pot over. Wait until the water has drained from the pot. Flip pot over. Place pot in the sink.,
Off kitchen light_16_4,Locate kitchen light switch. Observe how kitchen light switch is activated. Activate kitchen light switch.,
Use laptop_202_4,Turn on the laptop after finding it.,
Watch television_202_4,Take the remote from the coffee table. Use the remote to turn on the television and watch television.,
Check the timing on the watch_202_4,Find the watch. Look at the watch to make sure its timing is correct.,
Pack things into the box_201_4,"Get the pencil, pen, and newspaper. Find the box. Put the 3 items in the box.",
Throw away used tissuebox_201_4,Go to the television stand. Take the tissue box. Walk to the bin and put it inside.,
Turn off the table lamp or desk lamp_204_4,Walk over to the desk. Find the desk lamp's switch and turn it off.,
Crack the handphone screen_204_4,Pick up the hand phone and slam it down on the black table to crack it.,
Use the handphone_204_4,Find the hand phone. Turn the phone on. Start using it.,
Clear the sofa_204_4,"Walk to the sofa, grab the pillow, take it off and put it on the floor.",
Read a book_201_4,Take the book from the long end table and sit leisurely on the sofa and read it.,
