Task,Description,Setting
Make coffee_7_8,find mug and put it under coffeemachine and turn on the machine to dispense coffee,
Wash Dishes_7_8,Bring the dirty plates and bowls to running water to rinise it.,
Prepare sliced apple_7_8,Cut the apple with a knife,
Toast a bread_7_8,Slice the bread with a knife then put it into a toaster then it is toasted,
Fry an egg_7_8,"Break the egg , and cook it on the pan over stove",
Make tomato soup_7_8,"Slice the tomato , and add water into the pot, and put the tomato in and boil it",
Make lettuce soup_7_8,add water into pot over the faucet and the put lettuce into it.,
Boil water with pot_7_8,"add water into pot, put the pot onto stove and on it",
Throw away cracked egg_7_8,Find the cracked egg and throw it into bin,
Clear the fridge_7_8,remove everything from the fridge and put it on the countertop,
Microwave the sliced potato_20_8,"Slice potato, put potato in bowl. Put bowl in microwave and cook it",
Pour wine into a cup_20_8,"Open wine, find a cup, pour drink into cup",
Store food into fridge_20_8,"Find both fruits, Put fruits in a bowl. Put bowl in fridge",
Fill up cup with water_20_8,Grab cup from the pantry. Put cup under the sink and put cold water into cup,
Boil Potato_20_8,Find a pot. Fill out with water. Put potatoes in pot and boil them.,
Throw away unused apple slice_20_8,Find the slices on the table. Put the slices in a paper towel. Put paper towel in trash,
Keep kitchen utensils inside drawer_20_8,Find utensils in kitchen. Slightly wash them off under the sink. Put utensils in drawer with others,
Pour away coffee in a cup_20_8,"Find the cup of coffee, pour the coffee in the sink and wash it away",
Pour away water from pot_20_8,Pour the pot of water into the sink,
Off kitchen light_20_8,Slightly click the light to turn off the light,
Use laptop_201_8,Go to the long table and pick up the laptop. Sit on the couch with the laptop on your lap. Use the laptop.,
Watch television_201_8,Find the remote. Use the remote to turn on the television.,
Check the timing on the watch_201_8,Locate watch. Pick up watch. Check watch for timing.,
Pack things into the box_225_8,"Find everything that can be pack into the box, then close it.",
Throw away used tissuebox_225_8,Look inside tissue box to confirm it is empty. Lift box and walk to bin. Release box over bin to throw box away.,
Turn off the table lamp or desk lamp_218_8,"Walk over to desk lamp, turn off if on.",
Crack the handphone screen_218_8,Throw cellphone at chair.,
Use the handphone_218_8,Grab the phone and switch it on,
Clear the sofa_218_8,"Find sofa, remove any items on sofa.",
Read a book_224_8,Find Book on EndTable. Walk to ArmChair and sit down. Read book.,
