Task,Description,Setting
Make coffee_1_9,MAKE A COFFEE WITH THE COFFEE MACHINE TO SERVE IT WITH THE HELP OF THE PLATE AND THE CUP,
Wash Dishes_1_9,"Find the sink with the dirty bowls and plates, then wash it using soap",
Prepare sliced apple_1_9,APPLE IS SLICED USING KNIFE AND SERVE IT WITH PLATES,
Toast a bread_1_9,"Take a slice of bread, put it in the toaster and push down the lever on the toaster",
Fry an egg_1_9,"Take an egg, put a frying pan on the stove, turn on heat, Crack open egg, put in frying pan",
Make tomato soup_1_9,"Put sliced tomato into pot, and add water then put it onto the stove for boiling",
Make lettuce soup_1_9,"TAKE THE LETTUCE MAKE CLEAN IT AND USE IT FOR PREPARE THE FOOD FOR EAT. USE THE BOWL AND SPOON, TAKE THE PEPPER SHAKE FOR LETTUCE MAKE A SOUP",
Boil water with pot_1_9,"Take the pot and filled with water, place on stove and turn on the heat",
Throw away cracked egg_1_9,Bring the cracked egg to the bin and throw it inside.,
Clear the fridge_1_9,"Open the refrigerator, Empty out everything that is in the refrigerator",
Microwave the sliced potato_13_9,TO TAKE THE POTATO AND THEN CUT THESE WITH USING THE KNIFE AND FINALLY PLACE IN TO THE MICROWAVE,
Pour wine into a cup_13_9,TAKE A BOTTLE OF WINE AND POUR IN TO A CUP,
Store food into fridge_13_9,PLACE THE ALL FRUIT ITEMS IN TO THE FRIDGE FOR MAINTAINING THEIR NATURAL QUALITY,
Fill up cup with water_13_9,TAKE CUP AND POUR THE TAB WATER IN TO THE CUP FOR DRINKING,
Boil Potato_13_9,TAKE A POTATO AND PLACE IN TO THE BOILER,
Throw away unused apple slice_13_9,TO THROW THE UNUSED APPLES,
Keep kitchen utensils inside drawer_13_9,KEEP ALL THE UTENSILS IN AN GOOD MANNER,
Pour away coffee in a cup_13_9,TAKE A PREPARED COFFEE IN THE MUG AND POUR IN THE SINK,
Pour away water from pot_13_9,POUR THE LONG TIME USED WATER IN THE POT INTO THE SINK,
Off kitchen light_13_9,TURN OFF THE KITCHEN LIGHT,
Use laptop_203_9,Locate laptop in room. Pick up laptop and move to the sofa. Sit down on sofa and use laptop.,
Watch television_203_9,Locate the remote and bring it to the Television before turning it on.,
Check the timing on the watch_203_9,"First, pick up the watch from the coffee table. Then, look at the face of the watch for the time.",
Pack things into the box_203_9,Pick up the laptop from the coffee table and put it in the box behind the armchair.,
Throw away used tissuebox_203_9,"Use the last tissue, then pick up the tissue box on the end table. Finally, walk to the bin and throw it out.",
Turn off the table lamp or desk lamp_203_9,Walk over to the floor lamb and turn the switch off.,
Crack the handphone screen_203_9,Pick up the cellphone and then throw it at the laptop to break both screens.,
Use the handphone_203_9,Pick up the cellphone and swipe up.,
Clear the sofa_203_9,Take the remote off of the sofa and put it on the coffee table.,
Read a book_203_9,"Pick up the book, open it and start reading.",
