Task,Description,Setting
Turn off the living room light_224_8,Turn off the floor lamp in the living room.,
Crack the window_224_8,"Find the vase in the room, pick it up and throw it at the window",
Open Blinds_304_8,Go near to the closed blinds. Then open the blinds,
Clean the bed_304_8,"If the bed is dirty, clean it.",
Keep sporting equipment_304_8,Find the basketball and put it into the drawer,
Break the mirror_302_8,Grab the tennis racket. Hit the mirror with it until it breaks.,
Turn off all the bedroom light_302_8,First locate the the bedroom light switches.Then turn off all the lights,
Clear the bed_302_8,Go to the bed. Take off the pillow and teddy bear.,
Close the blinds_302_8,Go to the window. Shut the blinds.,
Put off a candle_413_8,Find the candle in the room. Blow out the flame.,
sink towel in water_413_8,Locate handtowel. Remove from handtowelholder. Turn bathroomfaucet on. Put handtowel under stream of water to wet it.,
Fill the sink with water_413_8,GO TO THE BATHROOM OPEN THE SINK TAP. THE WATER WILL BE FILLED,
Clean the mirror_413_8,TAKE A CLOTH .GO AND STAND NEAR THE MIRROR CLEAN THE MIRROR WITH THE CLOTH,
Throw away used toilet roll and soap bottle_411_8,take the used toilet roll or the used soap bottle if it is empty and throw it into the bin,
Hand towel on towelholder_411_8,take the hand towel and fold it then hang it on the towel holder,
Turn on shower head_411_8,turn the bathroom faucet anti-clockwise until water starts running out the shower head,
Break shower glass_411_8,take the soap bottle or spray bottle and throw it hard on the shower glass until it breaks,
Keep valuable items in safe_309_8,"Locate cell phone. Walk to cell phone. Pick up cell phone. Locate credit card. Walk to credit card. Pick up credit card. Locate laptop. Walk to laptop. Pick up laptop. Locate teddy bear. Walk to teddy bear. Pick up teddy. Bear. Locate safe. Walk to safe. Unlock safe. Open safe. Place cell phone, credit card, laptop, and teddy bear in safe. Close safe. Lock safe.",
Water the houseplant_209_8,"Get the watering can, walk to the house plant, pour some water on it.",
Boil water with a kettle_7_8,"Firstly, find the kettle. Fill the kettle with water from the Faucet. Place the kettle on the stove. Turn on the stove using the StoveKnob. Wait for the water to boil in the kettle.",
Fill up the bathtub with water_402_8,Turn on the bath tub faucet and wait till the bath tub basin is completely filled with water. Then turn off the bath tub faucet.,
Close the shower curtain_422_8,Move to shower curtain. Pull shower curtain closed.,
Make a breakfast_1_8,Make coffee with the coffee machine. Turn on the gas burner. Locate the egg and pan. Crack the egg into the pan and dispose of the shell in the sink basin. Place the pan on the gas burner. Locate the bread. Place the bread in the toaster and turn on the toaster.,
Find the egg in the room_1_8,Find the egg in the room,
Wash all the utensils_13_8,Put all the utensils in the sink basin. Take soap from the soap bottle and wash all the utensils with the dish sponge.,
Turn on all the floor lamp_201_8,find the floor lamp in the room and turn the switch on.,
Wash dirty cloths_430_8,Take all the dirty clothes and soak them in soap water for some time,
