Task,Description,Setting
Make coffee_2_5,Grab the mug. Walk over to the coffee machine. Turn it on. Wait for it. Put the mug under the machine and have the coffee pour in.,
Wash Dishes_2_5,Grab the dirty plates and bowls. Take them to the sink. Turn on the faucet. Grab the soap bottle and put soap on the dishes. Put the dishes under the water.,
Prepare sliced apple_2_5,Grab an apple. Grab the knife near the sink. Put the apple on the counter and slice it.,
Toast a bread_2_5,Grab the knife and walk to the bread on the counter. Cut off a slice of bread. Take the bread to the toaster and put it in. Turn the toaster on and wait for it to pop.,
Fry an egg_2_5,Grab the pan off the counter and put it on the stove. Turn the stove on. Grab the egg and take it to the pan. Crack the egg and put it inside,
Make tomato soup_2_5,Take the pot to the sink and t.rn the water on. Fill the pot with water. Put the pot on the stove and turn it on. Grab the tomato. Cut it up and put it in the pot,
Make lettuce soup_2_5,Take the pot to the sink and turn the water on. Fill the pot with water. Put the pot on the stove and turn it on. Grab the lettuce and a knife. Cut the lettuce up over the pot so the lettuce falls in.,
Boil water with pot_2_5,Take the pot to the sink and turn the water on. Fill the pot with water. Put the pot on the stove and turn it on. Wait for the water to boil.,
Throw away cracked egg_2_5,Find the cracked egg. Go to the bin and take it to where the egg is. Scrape the egg into the bin.,
Clear the fridge_2_5,Go to the fridge. Open it. Take everything out of it.,
Microwave the sliced potato_15_5,Get a plate. Get the potato. Put the potato on the plate. Get a knife. Slice the potato. Take the potato to the microwave and put it inside. Turn the microwave on.,
Pour wine into a cup_15_5,"First, get the bottle of wine. Then, get a cup. Open the wine. Pour the wine in the cup.",
Store food into fridge_15_5,"Get the apple, egg, lettuce, and tomato. Take it to the fridge. Open the fridge and put them in.",
Fill up cup with water_15_5,Take a cup. Take it to the sink. Turn the faucet on. Put the cup under the water.,
Boil Potato_15_5,Get a pot. Take it to the sink. Turn the faucet on. Fill the pot with water. Take it to the stove and put it on a burner. Turn the stove on. Get a potato and take it to the pot on the stove. Put it inside.,
Throw away unused apple slice_15_5,Find the unused apple slices and pick them up. Take them to the bin and put them inside.,
Keep kitchen utensils inside drawer_15_5,"Get the butterknife, fork, knife, and spatula. Take them to the drawer and open it. Put them inside.",
Pour away coffee in a cup_15_5,Get the cup of coffee. Take it to the sink. Pour the coffee in it.,
Pour away water from pot_15_5,Get the pot of water. Take it to the sink. Pour the water down the sink.,
Off kitchen light_15_5,Go to the light switch near the door. Turn it off.,
Use laptop_219_5,Firstly find the laptop. Go to it and opening it switch it on. When it is ready for use use it.,
Watch television_219_5,Sit in front of the TV. Take the remote and select the required channel and watch it.,
Check the timing on the watch_219_5,Search for the watch at first. Then pick it and keep it in front of your eyes. Check the timing.,
Pack things into the box_219_5,Pick the things to be pack. Collect the packing box in which the things are to be packed. Collect tape and cord as per requirement. Put things into the box and close it. USe tape and then cord to finish the packing.,
Throw away used tissuebox_219_5,"Find the used Tissue box, Check if it is empty. If so then pick it and throw it to the dust bin.",
Turn off the table lamp or desk lamp_219_5,Find the table lamp or desk lamp. Go to it and search for the switch. Switch off to turn it off.,
Crack the handphone screen_219_5,Throw the handphone in any direction until it crack,
Use the handphone_219_5,Search for the hand phone. Pick it and make it on,
Clear the sofa_219_5,Go to the sofa. Check what is or are on it. Remove it or them at proper position where they should belong.,
Read a book_202_5,Find book in room. Pick up book. Sit on sofa. Open book and read.,
