Task,Description,Setting
Make coffee_1_4,Turn coffeemachine on. Place cup in machine. Press button to make coffee.,
Wash Dishes_1_4,Place dishes in sink. Put detergent on dishsponge. Use dishsponge to scrub dishes. Rinse dishes. Put dishes into cabinet.,
Prepare sliced apple_1_4,Take the knife and cut the apple in the plate,
Toast a bread_1_4,take the bread make a toast in toaster,
Fry an egg_1_4,Take the egg and fry the egg in bowl,
Make tomato soup_1_4,Take pot to sink and add water. Put pot on stove. Turn on gas burner with stove knob. Boil water. Cut tomato into slices with knife. Add tomato slices into boiling water and cook further. Pour soup into bowl. ,
Make lettuce soup_1_4,Take pot to sink and add water. Put pot on stove. Turn on gas burner with stove knob. Boil water. Cut lettuce into pieces with knife. Add lettuce to boiling water in pot and cook. Pour soup into bowl.,
Boil water with pot_1_4,Take the pot and boil the water in gas burner,
Throw away cracked egg_1_4,"Go to bin, open bin and throw cracked egg.",
Clear the fridge_1_4,"clear the wastage of fruits,vegetables and other items in the fridge",
Microwave the sliced potato_13_4,Slice the potatoes and keep it in the Microwave till it cooks.,
Pour wine into a cup_13_4,"Search for the wine cup, take the wine bottle and then pour it in it.",
Store food into fridge_13_4,Keep all the food outside into the fridge,
Fill up cup with water_13_4,Take a cup and pour water in it by keeping under the water tap.,
Boil Potato_13_4,On the stove and keep the potato sliced into a pot and boil it.,
Throw away unused apple slice_13_4,Search the apples in the fridge or in the fruit box and throw it into bin if it is unused.,
Keep kitchen utensils inside drawer_13_4,After drying the utensils keep it one by one in the drawer of the kitchen cupboard.,
Pour away coffee in a cup_13_4,"Take the cup with coffee to the sink, and pour it away",
Pour away water from pot_13_4,Take the water pot and pour away the water from it .,
Off kitchen light_13_4,Switch off the lights of the kitchen.,
Use laptop_203_4,"Go to the table in front of the couch and pick up the laptop, open it and turn it on.",
Watch television_203_4,Go to the couch. Pick up the remote from the cushion. Point the remote to the TV and turn it on.,
Check the timing on the watch_203_4,Go to the table in front of the couch. Pick up the watch and look at it.,
Pack things into the box_203_4,Go to the long table and pick up the phone and the book. Put them in the box.,
Throw away used tissuebox_203_4,Get the used tissue box. Take it to the bin and put it in.,
Turn off the table lamp or desk lamp_203_4,Go to the lamp. Turn the lamp off.,
Crack the handphone screen_203_4,Find the phone on the long table and throw it on the floor until the screen cracks.,
Use the handphone_203_4,Go to the long table. Get the phone. Pick it up. Start using it.,
Clear the sofa_203_4,Go to the sofa. Take the remote off of it. ,
Read a book_203_4,Go to the long table. Sit in one of the chairs. Grab the book. Open it and start reading.,
