Task,Description,Setting
Make coffee_4_2,i will put coffee and water in the coffee machine and switch it on.,
Wash Dishes_4_2,i will put all dirty dishes on the sink put the faucet on and scrub them with a dishsponge and soap in the soapbottle.,
Prepare sliced apple_4_2,"first i will find a knife and a plate then take the apple ,wash it and slice it.",
Toast a bread_4_2,i will take bread from the counter and find butter knife from the the drawer and toast the bread .,
Fry an egg_4_2,"first i will put the gas burner on ,then put a pan with oil on it and fry the egg turning it using the spatula.",
Make tomato soup_4_2,"first i will find a knife and cut tomatoes,find a pot to fry the tomatoes and put the gas burner on to start the process.",
Make lettuce soup_4_2,"get a knife ,cut the lettuce in a bowl l,put the gas burner on cook it in a pot.",
Boil water with pot_4_2,take a pot full of water light the gas burner and boil it.,
Throw away cracked egg_4_2,"find the cracked egg,observe if damaged the throw in the bin",
Clear the fridge_4_2,"open the fridge ,remove everything.",
Microwave the sliced potato_16_2,Find a plate in the cabinet. Take the plate and place it on the counter top. Find the potato and place it on the plate. Find the knife. Use the knife to slice up the potato. Open the microwave and place the plate inside the microwave. Turn on the microwave.,
Pour wine into a cup_16_2,Find the wine bottle. Find a cup. Open the wine bottle. Pour wine into the cup.,
Store food into fridge_16_2,"Open the fridge door. Place the apple, potato, bread, egg, lettuce and tomato in the fridge.",
Fill up cup with water_16_2,Turn on the faucet. Find the cup. Fill the cup from the faucet.,
Boil Potato_16_2,Locate the pot. Place the pot in the sink basin. Turn on the faucet. Fill the pot with water. Turn on the stove pot range. Place the pot on the stove top range.Find the potato. Place the potato into the pot.,
Throw away unused apple slice_16_2,Locate the unused apple slices. Take the unused apple slices and place them in the bin.,
Keep kitchen utensils inside drawer_16_2,"Open the drawer. Check for utensils. Leave all of the utensils in the drawer. If a butter knife, knife, fork, spoon or spatula is on the counter top then place that utensil in the drawer.",
Pour away coffee in a cup_16_2,Find the cup with coffee. Take the cup of coffee and pour it into the sink basin.,
Pour away water from pot_16_2,Take the pot from the stove range. Pour the water in the pot into the sink basin.,
Off kitchen light_16_2,Find the light switch. Turn the light switch to the off setting.,
Use laptop_202_2,Locate the laptop and turn it on.,
Watch television_202_2,Go to the television and turn it on.,
Check the timing on the watch_202_2,Look at watch and see what time it is.,
Pack things into the box_201_2,Locate box. Place book into box. Place newspaper into box. Place pen into box. Place pencil into box. Close box lid.,
Throw away used tissuebox_201_2,"Find tissuebox. Check to see if tissue box is empty. If so, place in bin.",
Turn off the table lamp or desk lamp_204_2,Move to desk. Reach towards desklamp. Turn off desklamp.,
Crack the handphone screen_204_2,Locate cellphone. Pick up cellphone. Walk cellphone to desk. Strike cellphone on corner of desk until screen cracks.,
Use the handphone_204_2,Locate cellphone. Pick up cellphone. Use cellphone as desired.,
Clear the sofa_204_2,Move to sofa. Pick pillow up off of sofa. Remove pillow from sofa.,
Read a book_201_2,Take a book and sit on a chair/arm chair/sofa. Open the book and read whatever required.,
