Task,Description,Setting
Turn off the living room light_202_3,"Firstly, go near to the Bin then Turn off the LightSwitch.",
Crack the window_205_3,"Firstly, go near to the Curtains then open Curtains and Crack the window.",
Open Blinds_301_3,"GO TO THE LIVING AREA , LOWER THE CURTAINS",
Clean the bed_301_3,First go near to the blinds. Then open the blinds,
Keep sporting equipment_301_3,GO TO THE BEDROOM . TAKE A PILLOW AND KEEP IT IN THE SHELF AND CLEAN THE BED,
Break the mirror_308_3,Take the cleaning material. Then clean the bed,
Turn off all the bedroom light_308_3,Use the basketball bar regularly in sports,
Clear the bed_308_3,Collect all sporting equipment's and keep them in a safe place,
Close the blinds_308_3,Locate the window and the blinds. Close the blinds so that the window is covered.,
Put off a candle_409_3,Go near to the candle first. Then put off the candle,
sink towel in water_409_3,Find a towel. Go to the sink. Plug the sink. Turn on the tap and fill up the sink. Place towel in the sink.,
Fill the sink with water_409_3,Turn on the bathroom faucet. Fill the bathroom faucet with water.,
Clean the mirror_409_3,Locate some toilet paper and take some. Locate the spray bottle. Use the spray bottle to spray the mirror. Use the toilet paper to clean the mirror.,
Throw away used toilet roll and soap bottle_403_3,Locate the used toilet roll. Locate the soap bottle. Locate the bin. Place the used toilet roll and the soap bottle in the bin.,
Hand towel on towelholder_403_3,Locate the hand towel. Place the hand towel on the hand towel holder.,
Turn on shower head_403_3,Go to the shower. Turn the shower head to the on position.,
Break shower glass_403_3,Find the plunge and throw it at the shower glass,
Keep valuable items in safe_204_3,"find all the valuable items in the room, and put them into the safe.",
Water the houseplant_204_3,Walk to the watering can. Take the watering can to the house plant. Pour water on it.,
Keep box inside safe_204_3,Take the open box that is on the glass coffee table and place in the safe.,
Collect dirty cloths_307_3,Locate the laundry hamper. Remove the laundry hamper lid. Locate the cloth. Take the cloth and place it inside the laundry hamper.,
Boil water with a kettle_17_3,"First, Need to turn on the StoveKnobeRange and fire the stove, put water into kettle and keep it in stove",
Fill up the bathtub with water_411_3,Open the water tab which is in near bathtub and fill it by water,
Close the shower curtain_415_3,First go near to the shower curtain. Then close the shower curtain,
Make a breakfast_5_8,"Make an egg, toast a bread and make a cup of coffee",
Find the egg in the room_10_8,Find the egg in the room and expose it,
Wash all the utensils_17_8,Bring all the utensils to the sink and wash it,
Turn on all the floor lamp_213_8,Switch on the light in the room,
Wash dirty cloths_426_8,Bring the cloths to the sink and turn on the faucet,
Make coffee_9_1,Dipense the coffee into a mug,
