Task,Description,Setting
Turn off the living room light_203_2,Walk to light switch. Activate light switch.,
Crack the window_203_2,Walk to end table. Pick up vase. Face window. Throw vase at window.,
Open Blinds_308_2,"FInd the blinds in the room, pull it open",
Clean the bed_308_2,"Find the bed, remove everything on it, then clean it.",
Keep sporting equipment_308_2,Locate the basketball and baseball bat and find a place to store it.,
Break the mirror_317_2,Throw the alarm clock at the mirror.,
Turn off all the bedroom light_317_2,turn off all the light in bedroom,
Clear the bed_317_2,"i'm going take some rest ,so clean the bed before take rest in it",
Close the blinds_317_2,Find the blinds then close it.,
Put off a candle_407_2,Run it under the faucet,
sink towel in water_407_2,Rinse out towel in sink with water,
Fill the sink with water_407_2,On the faucet and fill the sink full,
Clean the mirror_407_2,Get glass cleaner and a paper towel, spray glass cleaner on mirror and wipe down with paper towel
Throw away used toilet roll and soap bottle_402_2,Throw the used toilet and empty soapbottle into bin,
Hand towel on towelholder_402_2,Find the towel in the room and hand it up,
Turn on shower head_402_2,Go near to the shower head. Then turn on the shower head,
Break shower glass_402_2,Take a small tool which can break shower glass. Then go near to the shower glass and break it,
Keep valuable items in safe_219_2,"Locate cell phone. Walk to cell phone. Pick up cell phone. Locate credit card. Walk to credit card. Pick up credit card. Locate laptop. Walk to laptop. Pick up laptop. Locate teddy bear. Walk to teddy bear. Pick up teddy. Bear. Locate safe. Walk to safe. Unlock safe. Open safe. Place cell phone, credit card, laptop, and teddy bear in safe. Close safe. Lock safe.",
Water the houseplant_203_2,Pick up the watering can located below the table on which the houseplant is situated. Carefully pour the water onto the houseplant and try not to spill elsewhere.,
Keep box inside safe_219_2,"Find the box, close the box and insert the box.",
Light up one candle with another_230_2,Pick up unlight candle. Bend over lit candle until flame catches on wick. Put candle down.,
Collect dirty cloths_317_2,check the roorm.here cloth only there. so just collect dirty cloths.,
Boil water with a kettle_15_2,First pour required amount of water from water pot into the kettle. Switch on the kettle and wait till the water boils well. Then switch of the kettle.,
Fill up the bathtub with water_401_2,Go to the bathtub. Plug the drain in the tub. Turn on the water. Fill up the tub. Turn off the tap when full.,
Close the shower curtain_407_2,when using the bathroom close the shower curtain.,
Make a breakfast_5_4,"Make a cup of coffee, an fry egg and bread serve in a plate",
Find the egg in the room_10_4,Look for the egg and pick it up,
Wash all the utensils_17_4,Bring all the utensil to the sink and wash them,
Turn on all the floor lamp_213_4,Locate the lamp and turn it on,
Wash dirty cloths_426_4,Find the dirty cloths and wash it with running water,
