Task,Description,Setting
Make coffee_2_3,"Firstly, find the mug and the coffeemachine in the room. Take the mug and put it at the coffee outlet of the coffeemachine. Lastly, start the coffeemachine to make coffee.",
Wash Dishes_2_3,"Firstly, take the dirty plates and bowls to the sink. Turn on the faucet to rinse the dirty plates and bowls. Turn off the faucet. Find soapbottle and pump the soap onto dish sponge. Sponge the dirty plates and bowls. Turn on the faucet to rinse away the soap on the plates & bowls. Turn off the faucet. Put clean plates and bowls on countertop.",
Prepare sliced apple_2_3,"Firstly, find the apple, plate, and knife in the room. Take the apple, plate and knife to the countertop. Slice up the apple and plate it.",
Toast a bread_2_3,"Firstly, find the bread and the toaster in the room. Take the bread and put into the toaster. Lastly, start the toaster.",
Fry an egg_2_3,"Firstly, find the egg, pan, spatula and gas burner in the room. Crack the egg into the pan and put the pan on the gas burner. Turn on the stoveknobrange. Flip the egg with spatula to avoid burning the egg. Turn off stoveknobrange when egg is cooked.",
Make tomato soup_2_3,"Firstly, find the tomato, knife, pot, ladle and gas burner in the room. Take pot to sink. Turn on the faucet to fill pot. Turn off the faucet when pot is 3/4 filled. Put pot of water on gas burner. Turn on the stoveknobrange. Take the tomato to the sink. Turn on the faucet to rinse the tomato. Turn off the faucet. Take the tomato, knife to the countertop. Cut up the tomato and put it into pot of water when boiling. Find saltshaker, peppershaker. Add into tomato soup for flavour. Stir with ladle. Turn off the stoveknobrange when soup is ready to be served.",
Make lettuce soup_2_3,"Firstly, find the lettuce, knife, pot, ladle and gas burner in the room. Take pot to sink. Turn on the faucet. Turn off the faucet when 3/4 pot filled. Put pot of water on gas burner. Turn on the stoveknobrange. Take the lettuce to the sink. Turn on the faucet to rinse the lettuce. Turn off the faucet. Take the lettuce, knife to the countertop. Cut up the lettuce and put it into pot of water when boiling. Find saltshaker, peppershaker. Add into lettuce soup for flavour. Stir with ladle. Turn off the stoveknobrange when soup is ready to be served.",
Boil water with pot_2_3,"Firstly, find the pot and gas burner in the room. Take pot to sink. Turn on the faucet. Turn off the faucet when 3/4 pot filled. Put pot of water on gas burner. Let it boil. Turn on the stoveknobrange. Turn off the stoveknobrange when water boils.",
Throw away cracked egg_2_3,Find the cracked egg and find the bin. Throw the cracked egg into the bin.,
Clear the fridge_2_3,"Firstly, find the fridge in the room. Open the fridge. Take out items to be thrown away and put them on the countertop. Find bin. Throw items into bin.",
Microwave the sliced potato_15_3,Locate knife. Walk to knife. Pick up knife. Locate potato. Walk to potato. Pick up potato. Locate plate. Walk to plate. Place potato on plate. Use knife to cut through potato ten times. Place knife on counter top. Pick up plate. Walk to microwave. Open microwave door. Place plate in microwave. Close microwave door. Activate microwave. Listen for beep. Open microwave door. Pick up plate. Close microwave door. Place plate on counter top.,
Pour wine into a cup_15_3,Locate cup. Walk to cup. Pick up cup. Locate wine bottle. Walk to wine bottle. Place cup on counter top. Open wine bottle. Pick up wine bottle. Tilt wine bottle to pour wine into cup. Observe cup until it is full. Straighten wine bottle. Place wine bottle on counter top. Close wine bottle.,
Store food into fridge_15_3,"Locate apple. Walk to apple. Pick up apple. Locate egg. Walk to egg. Pick up egg. Locate lettuce. Walk to lettuce. Pick up lettuce. Locate tomato. Walk to tomato. Pick up tomato. Walk to fridge. Open fridge door. Place apple, egg, lettuce, and tomato in fridge. Close fridge door.",
Fill up cup with water_15_3,Locate cup. Walk to cup. Pick up cup. Walk to sink. Place cup in sink basin. Turn on faucet. Observe cup until it is full. Turn off faucet.,
Boil Potato_15_3,Locate potato. Walk to potato. Pick up potato. Walk to sink. Hold potato under faucet. Activate faucet. Put them into boiling water.,
Throw away unused apple slice_15_3,"Locate apple slices. Walk to apple slices. Observe if apple slices are used. Locate unused apple slices. Pick up unused apple slices. Walk to bin. Open bin. Place unused apple slices in bin. Close bin. 
",
Keep kitchen utensils inside drawer_15_3,"Locate fork. Walk to fork. Pick up fork. Locate knife. Walk to knife. Pick up knife. Locate spatula. Walk to spatula. Pick up spatula. Locate spoon. Walk to spoon. Pick up spoon. Walk to drawer. Open drawer. Place fork, knife, spatula, and spoon in drawer. Close drawer.",
Pour away coffee in a cup_15_3,Locate cup. Walk to cup. Pick up cup. Walk to sink. Hold cup over sink basin. Turn cup over. Observe cup until coffee is empty. Place cup in sink basin.,
Pour away water from pot_15_3,Locate pot. Walk to pot. Pick up pot. Walk to sink. Hold pot over sink basin. Turn pot over. Observe pot until water is drained. Place pot in sink basin.,
Off kitchen light_15_3,Locate light. Walk to light. Observe how light is activated. Activate light.,
Use laptop_219_3,"Find laptop, pick it up, carry it to sofa, sit down, open laptop and press ""on"" button.",
Watch television_219_3,"Locate TV, walk to it and press ""on"" switch, walk to sofa, sit down.",
Check the timing on the watch_219_3,"Locate watch, check for time",
Pack things into the box_219_3,"Find box, locate vase and newspaper, wrap vase in newspaper, put in box.",
Throw away used tissuebox_219_3,"Find tissue box, it it's empty, toss in bin.",
Turn off the table lamp or desk lamp_219_3,"Locate desk lamp, turn off",
Crack the handphone screen_219_3,"Locate cell phone, locate remote, hit cell phone screen with remote",
Use the handphone_219_3,"Find cell phone, turn it on",
Clear the sofa_219_3,Move over to the sofa. Take the remote off the sofa and place it on the desk.,
Read a book_202_3,Locate the book and read it,
