Task,Description,Setting
Make coffee_1_6,"Place the coffee machine over the counter top , put water and coffee powder in it, turn on the settings and switch on the coffee machine. When the coffee is ready it will pour it in the cup .",
Wash Dishes_1_6,"Put the dirty plates and bowls in the sink basin , turn on the faucet , wash the plates and bowls with dish sponge and soap from soap bottle.",
Prepare sliced apple_1_6,Put apple on countertop. Use knife to slice apple. Place slices onto plate.,
Toast a bread_1_6,Insert slices of bread into toaster. Wait until the toaster pops them out. Place bread on plate.,
Fry an egg_1_6,Take egg out of fridge. Put the frying pan on Gasburner. Turner gasburner on. Crack the egg into frying pan. Leave it until the egg is done. Serve fried egg on plate.,
Make tomato soup_1_6,"Put water in a pan, add tomato and salt and pepper,, heat up",
Make lettuce soup_1_6,Take lettuce. Cut it with knife. Turn on the gas burner.Heat the pot with water and boil the lettuce.  ,
Boil water with pot_1_6,Fill a pot with water. Place pot with water on gasburner. Turn gasburner on. Wait until bubbles form. Then turn off gasburner.,
Throw away cracked egg_1_6,Take the cracked egg in a bowl and carefully put it in the bin outside the window ,
Clear the fridge_1_6,Open the fridge. Take everything inside the fridge out.,
Microwave the sliced potato_13_6,"take a potato and slice it with a knife, switch on the microwave and keep the sliced potato inside it.",
Pour wine into a cup_13_6,"take a wine bottle, open it and pour into a clean cup",
Store food into fridge_13_6,"open the fridge, store the fresh food in it",
Fill up cup with water_13_6,"take a water, pour it into a clean cup.",
Boil Potato_13_6,switch on the stove keep a pan with water and put the potatoes in it and boil,
Throw away unused apple slice_13_6,"firstly, check for the apple slices, if it is unused throw it",
Keep kitchen utensils inside drawer_13_6,"Take butterknife,fork,knife,,spatula,spoon and keep in drawer.",
Pour away coffee in a cup_13_6,pour coffee in a cup using coffee machine.,
Pour away water from pot_13_6,from the pot pour the water.,
Off kitchen light_13_6,off the kitchenlight.,
Use laptop_203_6,"Find coffee table, pick up laptop, sit down on sofa, turn on laptop",
Watch television_203_6,"Pick up the remote from the sofa, sit down, and then kick back and watch t.v..",
Check the timing on the watch_203_6,Pick up the watch and check the timing setting.,
Pack things into the box_203_6,Gather up small things that can fit into the box - like the watering can and the vase.,
Throw away used tissuebox_203_6,"Pick up the tissue box, carry it over to the bin and throw it out.",
Turn off the table lamp or desk lamp_203_6,"Since there is no table or desk lamp in the room, I will walk over to the floor lamp and turn it off instead.",
Crack the handphone screen_203_6,Drop the phone from a height until it crack,
Use the handphone_203_6,Pick the cellphone up off the long table and make my call.,
Clear the sofa_203_6,Move the remote from the sofa over to the coffee table.,
Read a book_203_6,Locate the book. Walk to the book. Pick up the book. Hold the book with the cover on top. Open the book to the first page of content. Start reading.,
