Task,Description,Setting
Turn off the living room light_201_1,Find the light switch in the living room and turn it off.,
Crack the window_201_1,CRACK THE WINDOW BY USING PLATE,
Open Blinds_302_1,I would pull up the blinds and twist the open bar.,
Clean the bed_302_1,make my bed and straighten the pillow and teddybear.,
Keep sporting equipment_302_1,Put my tennis racket in the closet.,
Break the mirror_309_1,Take a hard object like a mug. Go towards the mirror. Throw the mug at the mirror.,
Turn off all the bedroom light_309_1,walk to light switch. press it down to turn off light. go to the lamp. turn it off by turning its switch.,
Clear the bed_309_1,Take all items off the bed. Remove all pillows and bed linens. Put used linen in laundry hamper.,
Close the blinds_309_1,"go to blinds. turn the closing rod slowly until the blinds close completely, obscuring the window.",
Put off a candle_411_1,Go to the candle. Blow on the candle until the flame is out.,
sink towel in water_411_1,"First, find the towel on the bath towel holder. Then, take the towel to the bathtub. Then, turn on the bathtub faucet. When the bathtub basin has water in it, put the towel in in and push down.",
Fill the sink with water_411_1,Go to the sink. Turn on the bathroom faucet. Wait until the sink basin is full. Turn off the faucet.,
Clean the mirror_411_1,Go to the sink and stand in front of the mirror. Turn on the bathroom faucet. Get the hand towel. Wet the hand towel. Scrub the mirror with the hand towel.,
Throw away used toilet roll and soap bottle_407_1,"First, gather up the empty toilet roll and the used soap bottle. Take both items and drop them into the bin.",
Hand towel on towelholder_407_1,Find the hand towel in the room. Take the hand towel over to the hand towel holder and drape it over the holder.,
Turn on shower head_407_1,turn round the bathroom faucet until water runs out from the shower head,
Break shower glass_407_1,take the spray bottle and hit it hard against the the shower glass several times until it breaks.,
Keep valuable items in safe_317_1,Grab the cell phone and credit card off the dresser. Take them to the safe. Open the safe and put them in.,
Water the houseplant_205_1,Use the watering can and fill it with water and water the houseplants,
Keep box inside safe_317_1,put the box in the safe and lock it.,
Boil water with a kettle_2_1,"Find the kettle and put it into the sink. Fill the pot with water, and put it on the GasBurner. Turn on StoveKnobRange. Wait for the water boiling, and turn off the StoveKnobRange.",
Fill up the bathtub with water_407_1,"First, locate the bathtub in the room. Next, locate the faucet and turn it on to fill the tub with water.",
Close the shower curtain_419_1,"Firstly, find the ShowerCurtain. If the ShowerCurtain is open, close it.",
Make a breakfast_4_8,first go the kitchen prepare the breakefast,
Find the egg in the room_9_8,find the egg inside the fridge make the breakfast,
Wash all the utensils_16_8,"wash again in hot, soapy water and dry throughly.",
Turn on all the floor lamp_205_8,turn on all the floor lamp.given they are light switch.,
Wash dirty cloths_427_8,collect all dirty cloths first.then wash all the dirty cloths,
Hide the egg_2_1,Hide the egg in drawer,
Hide the egg_5_1,Hide the egg inside a cup,
