Task,Description,Setting
Make coffee_7_6,"Bring the mug to the coffeemachine, and on the machine to dispense coffee",
Wash Dishes_7_6,use the soap bottle and make the dirty plates clean .,
Prepare sliced apple_7_6,"Find a knife and apple ,then slice the apple to your wish .",
Toast a bread_7_6,"Firstly ready a toaster and take a bread how much you need , then toast it .",
Fry an egg_7_6,"Break the egg into a pan, and put the pan on the stove to cook the egg.",
Make tomato soup_7_6,"Take the tomato and slice it into smaller piece and put it into the pot, and boill the soup.",
Make lettuce soup_7_6,"Take the lecttuce and slice it into smaller piece and put it into the pot, and boill the soup.",
Boil water with pot_7_6,"Firstly find a pot for boiling, and take a water to your need , if its ready boiled the water .",
Throw away cracked egg_7_6,Firstly find a eggs in room and in that if it is cracked then throw away.,
Clear the fridge_7_6,"Firstly find the fridge in the room , if the fridge is filled with things then clear the fridge .",
Microwave the sliced potato_20_6,Locate potato. Locate knife. Use knife to slice potato. Pick up sliced potato. Walk sliced potato to microwave. Open microwave door. Put sliced potato in microwave. Close microwave door. Turn microwave on.,
Pour wine into a cup_20_6,Pick up cup. Walk to wine bottle. Open wine bottle. Pour wine from wine bottle into cup until the cup is full. Close wine bottle. Place wine bottle down.,
Store food into fridge_20_6,"Pick up the apple, lettuce, egg, and tomato. Walk to the fridge. Open the fridge door. Place the apple, lettuce, egg, and tomato inside the fridge. Close the fridge door.",
Fill up cup with water_20_6,Pick up the cup. Walk to the sink. Place the cup inside the sink basin. Turn the sink's faucet on. Wait until the cup is full. Turn the sink's faucet off. Pick up cup.,
Boil Potato_20_6,Pick up the potato. Walk to the stove. Put the potato in the pan. Pick up the pan. Walk to the sink. Put the pan in the sink basin. Turn on the sink's faucet. Wait until the pan is full of water. Turn off the sink's faucet. Pick up the pan. Walk to the stove. Place the pan on the stove. Turn on the stove. Watch potato until it is tender. Turn off the stove. Pick up the potato. Place potato in the bowl. Pick up pan. Walk to sink. Empty water from the pan in the sink. Put pan down in the sink basin.,
Throw away unused apple slice_20_6,Walk to the apple slices in the room. Pick up the extra apple slices. Walk to the bin. Open the bin. Place the apple slices in the bin. Close the bin.,
Keep kitchen utensils inside drawer_20_6,"Pick up the butter knife, fork, knife, spatula and spoon. Walk to the drawer. Open the drawer. Place the butter knife, fork, knife, spatula and spoon inside the drawer. Close the drawer.",
Pour away coffee in a cup_20_6,Pick up the cup. Walk to the sink. Dump the coffee from the cup into the sink basin. Place the cup down in the sink basin.,
Pour away water from pot_20_6,Pick up the pot. Walk to the sink. Pour the water from the pot into the sink basin. Place the pot in the sink basin.,
Off kitchen light_20_6,Locate the light switch. Walk to the light switch. Activate the light switch.,
Use laptop_201_6,First locate the laptop. Then start using the laptop,
Watch television_201_6,Switch on the TV first. Then watch the television,
Check the timing on the watch_201_6,Find the watch. Pick it up and look at the time.,
Pack things into the box_225_6,"Firstly take all the things that can be picked up and fit into the box (like credit card, key chain, news paper, remote, tissue box etc.). Now put all the things inside the box, close the box and pack it.",
Throw away used tissuebox_225_6,Firstly take the tissue box and see if all the tissues in it are used. If the tissue box is used completely then throw it in the bin.,
Turn off the table lamp or desk lamp_218_6,Use the light switch to turn off the table lamp.,
Crack the handphone screen_218_6,"First, pick up the cellphone from the table and then throw it hard on the floor.",
Use the handphone_218_6,Pick up the cellphone from the table and turn it on.,
Clear the sofa_218_6,Remove the pillow from the sofa.,
Read a book_224_6,"Firstly,find a book in a room , then start to read a book.",
