Task,Description,Setting
Turn off the living room light_224_4,Walk to FloorLamp. Turn the switch to the off position.,
Crack the window_224_4,Find the book in the room and throw it at the window,
Open Blinds_304_4,Find the blinds. Draw the blinds so that they are open.,
Clean the bed_304_4,"Check for the cleaness of the bed, if it is dirty. Clean it.",
Keep sporting equipment_304_4,Find the basketball and store it in the drawer,
Break the mirror_302_4,Take a small tool which can break the mirror. Then goto the mirror and break it,
Turn off all the bedroom light_302_4,Go to the night stand near the door. Turn off the lamp.,
Clear the bed_302_4,Go near the bed in the bedroom. Then clear the bed,
Close the blinds_302_4,First go near to the blinds. Then close the blinds,
Put off a candle_413_4,Walk to counter top. Observe if candle is lit. Pick up lit candle. Walk to sink. Put lit candle in sink basin. Turn on faucet. Observe flame die. Turn off faucet. Pick up candle. Walk to counter top. Place candle on counter top.,
sink towel in water_413_4,Locate sink towel. Walk to sink towel. Pick up sink towel. Walk to sink. Place sink towel in sink basin. Turn on faucet. Observe sink towel until it is covered in water.,
Fill the sink with water_413_4,Turn on the bathroom faucet. Fill the sink basin with water. Turn off the bathroom faucet.,
Clean the mirror_413_4,Locate the spray bottle. Locate the cloth. Use the spray bottle to spray the mirror. Use the cloth to clean the mirror.,
Throw away used toilet roll and soap bottle_411_4,Grab the used toilet paper roll. Throw it into the bin in the bathroom. Grab the soap bottle and throw it into the bin in the bathroom.,
Hand towel on towelholder_411_4,"Find the hand towel, then find the towel holder and put it onto it.",
Turn on shower head_411_4,"Open the shower door, reach into the shower and turn on the shower head.",
Break shower glass_411_4,Smash the handle of the plunger against the shower glass until it breaks.,
Keep valuable items in safe_309_4,Find valuables. Find the safe. Take items to the safe. Put the items in the safe. Lock the safe.,
Water the houseplant_209_4,Take the watering can and fill it with water and water the houseplants,
Boil water with a kettle_7_4,"Remove the kettle from the drawer, fill it with water from the faucet and bring it to a boil on the stove to make tea.",
Fill up the bathtub with water_402_4,GO TO BATHROOM. OPEN THE BATHTUB TAP. THE WATER WILL BE FILLED IN THE BATHTUB,
Close the shower curtain_422_4,Walk to shower curtain. Grab ends of shower curtain. Pull one end to cover bathtub while keeping other end in place.,
Make a breakfast_1_4,First goto kitchen. Than prepare a item for breakfast,
Find the egg in the room_1_4,Go and open the fridge. Then locate the egg inside the fridge,
Wash all the utensils_13_4,Take the utensils to the cleaning area. Then wash all the utensils,
Turn on all the floor lamp_201_4,First the locate floor lamp switches. Then turn on all the floor lamps,
Wash dirty cloths_430_4,Collect all the dirty cloths first. Then wash those dirty cloths.,
Keep the laptop_209_1,"Find the laptop in the room, then close it put it insider a drawer",
Keep the laptop_209_1,"Locate the laptop, then bring it to the drawer, close it and store it inside drawer",
Keep the laptop_213_1,"Find the laptop in the room, bring it to the drawer, close it and store it inside drawer",
Keep the laptop_209_1,"Find the laptop in the room, then close it put it insider a drawer",
Keep the laptop_209_1,"Locate the laptop, then bring it to the drawer, close it and store it inside drawer",
Keep the laptop_213_1,"Find the laptop in the room, bring it to the drawer, close it and store it inside drawer",
