Task,Description,Setting
Make coffee_2_8,GO TO THE KITCHEN .TAKE A MUG /PLACE IT IN FRONT OF COFFEE MACHINE . PRESS THE BUTTON COFFEE .,
Wash Dishes_2_8,GO TO THE KITCHEN . SEE THE SINK . WASH ALL THE DIRTY PLATES AND BOWLS IN THE SINK,
Prepare sliced apple_2_8,GO TO THE KITCHEN . TAKE A KNIFE AND PLATE. NOW TAKE THE APPLE. CUT THE APPLE INTO THIN SLICES USING THE KNIFE,
Toast a bread_2_8,GO TO THE KITCHEN . TAKE A BREAD .PUT IT IN A TOASTER. ON THE TOASTER SWITCH .THE BREAD WILL BE TOASTED AUTOMATICALLY,
Fry an egg_2_8,GO TO THE KITCHEN .TAKE A FRYING PAN IN THE KITCHEN . TAKE EGG FROM THE FRIDGE. NOW KEEP THE FRYING PAN IN GASBURNER /BREAK THE EGG AND PUT IT IN THE PAN .TAKE A SPOON AND FRY IT.,
Make tomato soup_2_8,Collect all the things to make tomato soup and goto kitchen area. Then prepare the tomato soup,
Make lettuce soup_2_8,Locate lettuce in room. Locate knife in room. Use knife to cut lettuce into small pieces. Locate pot. Place lettuce pieces into pot. Carry pot to sink. Place pot under faucet. Turn on faucet and fill pot with water. Carry pot to stove. Place pot on stove. Turn on gasburner. Use spoon to stir contents of pot occasionally. Cook to desired doneness.,
Boil water with pot_2_8,GO TO THE KITCHEN . TAKE A POT. POUR THE WATER IN THE POT .ON THE GASBURNER . ADJUST THE STOVEKNOB RANGE. NOW BOIL THE WATER.,
Throw away cracked egg_2_8,Located cracked egg. Carry cracked egg to bin. Place cracked egg inside bin.,
Clear the fridge_2_8,Move to fridge. Open door of fridge. Remove contents of fridge.,
Microwave the sliced potato_15_8,Find the potato. Find the plate. Place the potato on the plate. Locate the knife and cut the potato into slices. Take the plate and place it in the microwave. Turn on the microwave.,
Pour wine into a cup_15_8,Locate the wine bottle. Open the win bottle. Locate the cup. Pour wine from the wine bottle into the cup.,
Store food into fridge_15_8,"Open the fridge. Locate the potato, tomato, lettuce and bread. Place the potato, tomato, lettuce and bread in the fridge. Close the fridge.",
Fill up cup with water_15_8,Turn on the faucet. Locate the cup. Fill the cup with water from the sink faucet.,
Boil Potato_15_8,Turn in the stove range. Turn on the faucet. Locate the pot. Fill the pot with water from the faucet. Place the pot on the stove range. Locate the potato. Place the potato into the pot. Boil the potato.,
Throw away unused apple slice_15_8,Locate the unused apple slices. Place the unused apple slices in the bin.,
Keep kitchen utensils inside drawer_15_8,Locate the knife and any other kitchen utensil that is on a counter or table. Open the drawer. Place the utensils in the drawer.,
Pour away coffee in a cup_15_8,Locate the cup with coffee in it. Take the cup and pour our the coffee in the sink basin.,
Pour away water from pot_15_8,Take the pot from the stove range. Pour the water from the pot into the sink basin.,
Off kitchen light_15_8,Locate the light switch. Turn the light switch to the off position.,
Use laptop_219_8,Laptop is on the cupboard.The Laptop is closed. so turn on the laptop. so use laptop.,
Watch television_219_8,Switch on the television to watch,
Check the timing on the watch_219_8,FIRST FIND THE WATCH IN THE ROOM. NEXT CHECK THE TIMING ON THE WATCH.,
Pack things into the box_219_8,the empty box on the cupboard.so pack things into the box,
Throw away used tissuebox_219_8,THE TISSUE BOX IS EMPTY. SO THROW AWAY USED TISSUE BOX.,
Turn off the table lamp or desk lamp_219_8,"the table lamp or desk lamp is on the cupboard.the lamp is on this time, so turn off the table lamp or desk lamp.",
Crack the handphone screen_219_8,first find the hand phone in the room. next saw crack the hand phone screen.,
Use the handphone_219_8,first find the hand phone in the room. next use the hand phone.,
Clear the sofa_219_8,Find the sofa in the room.Clear any items on the sofa.,
Read a book_202_8,"Take the book, open the book and read it.",
