Task,Description,Setting
Turn off the living room light_202_1,Find the light switch then turn on the living room light.,
Crack the window_205_1,Find the waving statue in the room and remove the room curtains then crack the window using waving statue,
Open Blinds_301_1,Locate the blinds and then open them,
Clean the bed_301_1,"If the bed is dirty, then clean it.",
Keep sporting equipment_301_1,Put the sports equipment in drawer or cabinet,
Break the mirror_308_1,Find the ball in the room and throw it at the window.,
Turn off all the bedroom light_308_1,Use the light switch to turn off the light.,
Clear the bed_308_1,Find all the item on the bed and clear them away.,
Close the blinds_308_1,Drag the strings fully to pull down the blinds and close them.,
Put off a candle_409_1,Walk to the lit candle. Blow on it until the flame is out.,
sink towel in water_409_1,Find the towel and bring it to the sink and fill the sink with water before sinking it in.,
Fill the sink with water_409_1,Locate the water tape connected to sink. Then open the tap to fill the sink with water,
Clean the mirror_409_1,Take a cloth. Then clean the mirror with the help of cloth,
Throw away used toilet roll and soap bottle_403_1,First collect the used toilet roll and soap bottle. Then throw away them,
Hand towel on towelholder_403_1,Take the towel and goto near the towelholder. Then hand the towel on towelholder,
Turn on shower head_403_1,Locate the shower tape. Then turn on the shower head tape,
Break shower glass_403_1,Take the plunge and throw it at the shower glass to cause it to break,
Keep valuable items in safe_204_1,"Locate credit card. Walk to credit card. Pick up credit card. Locate cell phone. Walk to cell phone. Pick up cell phone. Locate safe. Walk to safe. Turn dial to unlock safe. Pull handle to open safe. Place credit card, and cell phone in safe. Close safe. Pull handle to lock safe. Twist dial to secure safe.",
Water the houseplant_204_1,"Using the water can, water the plant that is on the small table between the sofa and the chair.",
Keep box inside safe_204_1,"Walk to the box and shut it. Take it to the safe. Open the safe, put the box inside. Close the safe.",
Collect dirty cloths_307_1,"Firstly collect all the dirty clothes in the room. Open the laundry hamper lid, put the clothes inside the laundry hamper and then close the laundry hamper lid.",
Boil water with a kettle_17_1,Fill kettle up with water from the faucet. Then boil water on the stove.,
Fill up the bathtub with water_411_1,Turn on the BathTubFaucet and let the water run until the BathtubBasin is filled.,
Close the shower curtain_415_1,Walk to the shower. Grasp the shower curtain. Pull the shower curtain closed.,
Make a breakfast_5_8,Make a toasted bread with an egg on it and a cup of coffee,
Find the egg in the room_10_8,Find the egg in the room,
Wash all the utensils_17_8,Bring all the utensils to wash,
Turn on all the floor lamp_213_8,Switch on the light switch,
Wash dirty cloths_426_8,Running the dirty cloths under water,
Make coffee_9_1,Put a mug under the coffeemachine to make coffee,
