Task,Description,Setting
Make coffee_2_9,Find mug on countertop. Walk over to the coffeemachine placing mug inside. Turn on the coffeemachine.,
Wash Dishes_2_9,Locate dirty plates in room. Pick up dirty plates. Carry plates to sink. Locate dirty bowls in room. Pick up dirty bowls. Carry bowls to sink. Turn on faucet. Fill sinkbasin with water. Add some contents of soapbottle into water. Place dirty plates in soapy water. Place dirty bowls in soapy water. Use dishsponge to clean plates. Place plates by sink to dry. Use dishsponge to clean bowls. Place bowls by sink to dry.,
Prepare sliced apple_2_9,Locate apple in room. Locate knife. Use knife to slice apple.,
Toast a bread_2_9,Locate bread in room. Locate knife in room. Use knife to slice bread. Carry slice of bread to toaster. Place break into toaster. Toast bread to desired doneness.,
Fry an egg_2_9,Locate egg. Pick up egg. Carry egg to stove. Locate pan. Place pan on stove. Turn on gasburner. Crack egg into pan. Fry egg to desired doneness.,
Make tomato soup_2_9,Locate tomato in room. Locate knife in room. Use knife to cut tomato into chunks. Locate pot. Place tomato chunks into pot. Carry pot to sink. Place pot under faucet. Turn on faucet and fill pot with water. Carry pot to stove. Place pot on stove. Turn on gasburner. Use spoon to stir contents of pot occasionally. Cook to desired doneness.,
Make lettuce soup_2_9,Find lettuce and a pot. Tear lettuce and place into pot. Fill pot with water at the sink by turning on the faucet. Find the saltshaker and peppershaker and shake them over the pot. Place pot on the stoveknobrange and turn on the gasburner. Find spoon on countertop. Stir pot.,
Boil water with pot_2_9,Locate pot in room. Carry pot to sink. Place pot under faucet. Turn on faucet. Fill pot with water. Carry pot to stove. Place pot on stove. Turn on gasburner. Heat water to boiling.,
Throw away cracked egg_2_9,Take the cracked egg over to the bin. Place cracked egg into the bin.,
Clear the fridge_2_9,GO TO THE KITCHEN .TAKE ALL WANTED THINGS FROM THE FRIDGE .NOW CLEAR THE FRIDGE,
Microwave the sliced potato_15_9,I’d put the potato in my bowl and place in the microwave.,
Pour wine into a cup_15_9,"I’d grab my cup, tip the wine and pour it in.",
Store food into fridge_15_9,"I’d get my egg and lettuce, and put them in my fridge.",
Fill up cup with water_15_9,"Get my cup, turn the faucet on at my sink and fill it with water.",
Boil Potato_15_9,"I’d boil water, and drop my potatoes in and cook on the stove.",
Throw away unused apple slice_15_9,I’d get the unused slices from my paper towel and throw it all away.,
Keep kitchen utensils inside drawer_15_9,"I’d put my spoon, butter knife, fork and spatula in the drawer.",
Pour away coffee in a cup_15_9,I’d get my coffee from coffee machine and pour remainder in my cup.,
Pour away water from pot_15_9,I’d take my pot and pour the water into my sink.,
Off kitchen light_15_9,Find the light switch and turn off it if it is turn on.,
Use laptop_219_9,Locate laptop in room. Walk to laptop. Pick up laptop. Walk to sofa. Sit on sofa. Open laptop. Push power button on laptop. Wait for laptop to power up. Use laptop.,
Watch television_219_9,Locate television in room. Walk to television. Turn television on. Pick up remote. Use remote to switch to desired television station. Sit in armchair to watch television.,
Check the timing on the watch_219_9,Locate watch in room. Pick up watch. Look at watch to see the time.,
Pack things into the box_219_9,Locate box in room. Place newspaper into box. Place remote into box. Place watch into box. Close box lid.,
Throw away used tissuebox_219_9,Locate tissuebox in room. Confirm tissuebox is empty. Walk to bin. Place tissuebox in bin.,
Turn off the table lamp or desk lamp_219_9,Walk to desklamp. Turn knob on desklamp to turn it off.,
Crack the handphone screen_219_9,Locate cell phone. Walk to cell phone. Pick up cell phone. Walk to dresser. Hold cell phone screen down. Hit cell phone against dresser.,
Use the handphone_219_9,Find cellphone in room. Pick up cellphone. Unlock cellphone. Use cellphone as desired.,
Clear the sofa_219_9,Walk to sofa. Remove any items on sofa.,
Read a book_202_9,"check the book status, if it is available, then start read.",
