Task,Description,Setting
Make coffee_1_1,Pick up the cup and and place it at the base of the coffee machine. Press the button to activate the coffee machine. Make sure that the coffee pours into the cup.,
Wash Dishes_1_1,Pick up the dirty plates and bowls and put them into the sinkBasin. Find the soap bottle and the kitchen sponge. Squeeze some soap onto the sponge and rub the sponge on the dirty plates and bowls. Turn on the faucet to rinse the dishes and bowls.,
Prepare sliced apple_1_1,Pick up the knife and the apple. Use the knife to slice the apple.,
Toast a bread_1_1,Pick up the loaf of bread and a knife. Use the knife to slice the bread. Pick up the bread slice and put it into the toaster. Switch on the toaster and toast for 5 minutes.,
Fry an egg_1_1,"Pick up a frying Pan and place it on the GasBurner. Turn the stove knob to heat the Pan. Pick up the egg, and break it over the Frying Pan.",
Make tomato soup_1_1,"Pick up the Pot, go to the sinkBasin and turn the faucet to fill the Pot with water. Take the filled pot of water and place it on the GasBurner. Turn the stoveKnob and heat up the water in the pot. Take a Tomato, and place it in the boiling water. Stir the contents of the pot with a ladle.",
Make lettuce soup_1_1,"Pick up the Pot, go to the sinkBasin and turn the faucet to fill the Pot with water. Take the filled pot of water and place it on the GasBurner. Turn the stoveKnob and heat up the water in the pot. Take a lettuce, and place it in the boiling water. Stir the contents of the pot with a ladle.",
Boil water with pot_1_1,"Pick up the Pot, go to the sinkBasin and turn the faucet to fill the Pot with water. Take the filled pot of water and place it on the GasBurner. Turn the stoveKnob and heat up the water in the pot.",
Throw away cracked egg_1_1,Pick up the cracked egg and drop it into the bin. ,
Clear the fridge_1_1,Open the fridge and take out everything inside of it.,
Microwave the sliced potato_13_1,"Find the potato, then find a kife, then cut the potato into slices. Find the microwave and put the sliced potato into it and microwave the sliced potato.",
Pour wine into a cup_13_1,Find the wineBottle and a cup. Open the winebottle and pour wine into the cup.,
Store food into fridge_13_1,"Find all food items that are not in the fridge, put them in the fridge.",
Fill up cup with water_13_1,"Find a cup, open faucet and fill the cup with water.",
Boil Potato_13_1,"Find a potato and a pot. Fill the pot with water, put the pot onto a stove. Turn the knob of the stove to on. Bring the water to boil and boil the potato.",
Throw away unused apple slice_13_1,"Find unused apple slices, throw them into a bin.",
Keep kitchen utensils inside drawer_13_1,"Find all forks and knives, put them into the drawer.",
Pour away coffee in a cup_13_1,"Find a cup, pour coffee into the cup.",
Pour away water from pot_13_1,"FInd the sink, pour the water from the pot into the sink.",
Off kitchen light_13_1,"Find the light switch, turn the switch to the off position.",
Use laptop_203_1,Find the laptop on the coffee table. Turn the laptop on.,
Watch television_203_1,Find the remote. Use the remote to turn on the television. Watch the television.,
Check the timing on the watch_203_1,Find the watch and look at the time on it.,
Pack things into the box_203_1,Find the box and find the cell phone and the newspaper. Place the cell phone and the newspaper in the box.,
Throw away used tissuebox_203_1,Find the used tissue box. Take the used tissue box and place it in the bin.,
Turn off the table lamp or desk lamp_203_1,Find the table lamp. Use the light switch of the table lamp to trun it off.,
Crack the handphone screen_203_1,Find the cell phone. Pick it up and smash it against the end table until the screen is cracked.,
Use the handphone_203_1,Pick up the phone and make a phone call.,
Clear the sofa_203_1,take all items on the sofa and place them on the arm chair.,
Read a book_203_1,Find the book and open it. Begin reading the book.,
