Task,Description,Setting
Make coffee_5_4,"go to the kitchen, turn on the coffee machine and let it cook then fetch with a cup.",
Wash Dishes_5_4,"collect all the dirty plate and bowls into a sink, get a dish sponge, apply the dish soap and wash off the dirt and arrange on the dish rack",
Prepare sliced apple_5_4,"pick out an apple, get a knife and slice the apple.",
Toast a bread_5_4,"take the bread and insert it in the toaster, turn the toaster on and let the bread toast and remove it.",
Fry an egg_5_4,"take a frying pan and put it on the stove, turn on the stove knob. get the eggs and break and beat using a fork, pour the egg into the pan and let it cook, turn using a spatula, let the other side cook and serve into a plate",
Make tomato soup_5_4,"take the tomatoes in a bowl. slice them using a knife. put the pot on the stove, turn the stove on and add the tomatoes, add salt and bring to boil. add potatoes if need be.",
Make lettuce soup_5_4,"slice lettuce with a knife, put a pot on the stove and turn the stove on, add some oil and add the sliced lettuce add salt and pepper to taste.",
Boil water with pot_5_4,"turn on the stove nob, put the pot on the stove, add a cup of water and bring to boil.",
Throw away cracked egg_5_4,"check the eggs and find one that is cracked, throw it in the bin",
Clear the fridge_5_4,"open the fridge and check the fridge, clear all items.",
Microwave the sliced potato_17_4,First find the potato. Find a knife.Use knife to slice potato.Put potato slices on plate. Put plate in microwave and turn on.,
Pour wine into a cup_17_4,"Find cup, pick up wine, open wine, tilt over cup and pour wine.",
Store food into fridge_17_4,Pick up food put in bowl. Open fridge put food in fridge close fridge.,
Fill up cup with water_17_4,"Find cup, pick up cup. Turn on cold water faucet on sink,put cup under water until full.",
Boil Potato_17_4,"Find pot, fill with water, put pot on stove, turn on stove. Find potato, put in pot.Leave on stove until water boils and potato is cooked.",
Throw away unused apple slice_17_4,"Find unused apple slices, put in bin.",
Keep kitchen utensils inside drawer_17_4,"Find all kitchen utensils,open drawer,put all kitchen utensils in drawer,close drawer.",
Pour away coffee in a cup_17_4,Find the cup and bring it to the sink to pour it.,
Pour away water from pot_17_4,"Pick up pot, walk to the sink, tilt pot over sink and pour water from pot into sink.",
Off kitchen light_17_4,Locate kitchen light on the wall .Flick the switch down to turn off light.,
Use laptop_205_4,FIRSTLT OPEN THE LAPTOP SWITCH ON IT AND MAKE SURE IT HAVE PACKUP POWER,
Watch television_205_4,GO NEAR THE TV AND PUT ON THE ON SWITCH,
Check the timing on the watch_205_4,Find the watch in the room and check the time.,
Pack things into the box_220_4,"PICK UP THE BOX ,TAKE THE LAPTOP ON THE TABLE TO PUT IN THE BOX AND ALSO TISSUE BOX,PILLOW,CANDLE PUT IN IT",
Throw away used tissuebox_220_4,MAINLY CHECK THE CONDITION OF THE TISSUEBOX IF EMPTY PUT IT IN THE BIN,
Turn off the table lamp or desk lamp_211_4,Find the lamp. Reach under the shade. Turn the knob clockwise until it turns off.,
Crack the handphone screen_211_4,Find your hand phone. Go to the table. Turn the screen towards the table. Smash the screen on the edge of the table.,
Use the handphone_211_4,Find your hand phone. Pick up the hand phone and on it.,
Clear the sofa_211_4,Go to the sofa. Pick up random items including laptop and pillows from the sofa. Put those items on the table.,
Read a book_209_4,Locate book in room. Pick up book. Walk to sofa. Sit on sofa and open book.,
