Task,Description,Setting
Make coffee_4_10,PUT THE MUG IN COFFEEMACHINE AND SWITCH ON,
Wash Dishes_4_10,CHECK THE UNWASHED PLATES AND BOWLS IN THE SINKBASIN .IF FOUND WASH THEM,
Prepare sliced apple_4_10,FOUND THE APPLE ON TABLE AND USE THE KNIFE TO SLICE IT,
Toast a bread_4_10,TAKE OUT THE BREAD AND TOAST IN TOASTER,
Fry an egg_4_10,TAKE A PAN AND EGG.SWITCH ON THE STOVE KNOB,
Make tomato soup_4_10,TAKE A TOMATO AND CRUSH IT TO MAKE SOUP IN POT,
Make lettuce soup_4_10,Take Lettuce make soup using stoveknob and then serve in bowl.,
Boil water with pot_4_10,FILL THE POT WITH WATER FROM FAUCET AND BOIL ON THE STOVE,
Throw away cracked egg_4_10,GO AND CHECK THE CRACKED EGG. IF IT FOUND THROW IT IN A BIN,
Clear the fridge_4_10,TAKE ALL THAT ITEM IN FRIDGE,
Microwave the sliced potato_16_10,Make sure the potato is sliced properly and put it in some water then microwave it,
Pour wine into a cup_16_10,Find a clean glass and properly uncork the wine and slowly pour into a glass,
Store food into fridge_16_10,"Take all the food outside, and put them into the fridge",
Fill up cup with water_16_10,Take a clean cup and go to a sink and turn the tap on and fill the cup,
Boil Potato_16_10,Find the potato in the room and put it into a pot for boiling,
Throw away unused apple slice_16_10,Take the slices and throw them into the bin,
Keep kitchen utensils inside drawer_16_10,"Find all the kitchen utensils like knife, butter knife, spatula and fork and try put them into drawers",
Pour away coffee in a cup_16_10,Find the cup of coffee and pour them into the sink.,
Pour away water from pot_16_10,Hold the pot and firmly and slowly dump it into the sink,
Off kitchen light_16_10,Walk up to the kitchen light and just flick it off,
Use laptop_202_10,Locate the laptop in the room. Pick up the laptop and carry it to the sofa. Open the laptop and power it on.,
Watch television_202_10,Walk to coffee table. Pick up remote. Walk to sofa. Face television. Point remote towards television. Press power button on remote. Sit on sofa. Observe the television.,
Check the timing on the watch_202_10,Walk to television stand. Pick up watch. Look at watch. Observe time on the watch.,
Pack things into the box_201_10,Firstly see the opened box. Take all the things that can fit into the box and put them into the box. Then close the box and pack it.,
Throw away used tissuebox_201_10,Firstly open the tissue box and see if there are tissues in it. If all the tissues are used then throw the tissue box into the bin.,
Turn off the table lamp or desk lamp_204_10,,
Crack the handphone screen_204_10,Throw the phone as hard as you at the wall,
Use the handphone_204_10,Pick the hand phone from the glass table and make a call on it.,
Clear the sofa_204_10,Remove the pillow to clear the sofa.,
Read a book_201_10,"Sit down on chair, open book, read book",
