Task,Description,Setting
Make coffee_1_10,"Find a mug or cup, then put the mug under the coffee machine and turn it on to make coffee.",
Wash Dishes_1_10,Use the soap bottle to wash the dirty bowls and plates in the sink and rinise it with water from the faucet,
Prepare sliced apple_1_10,Pick one good apple from the fridge wash it and cut it into four pieces and remove the core and use the knife to slice it up and then put it in a plate .,
Toast a bread_1_10,TAKE THE BREAD PREPARE FOR TOAST A BREAD MAKE IT USE OF THE TOASTER AND SERVE IT,
Fry an egg_1_10,TAKE THE EGG MAKE THE FRY WITH THE SPOON AND SERVE IT IN A PLATE,
Make tomato soup_1_10,Boil the sliced tomato inside a pot with water.,
Make lettuce soup_1_10,"Find the lettuce, then slice the lettuce into slices with a knife, then find a pot and fill it with water.Next, add water into the pot via the facuet then add lettuce in and cook it on the stove.",
Boil water with pot_1_10,"TAKE THE POT AND FILL THE WATER. MAKE THE USE OF THE GAS BURNER AND THE STOVE KNOB, TO MAKE TO HEAT THE WATER",
Throw away cracked egg_1_10,"TAKE THE EGG AFTER FIND IT IS CRACKED, SO IT IS NOT USE FOR COOK, IT CAN BE THROWN",
Clear the fridge_1_10,"Bring everything found in the refrigerator out onto the counter,.",
Microwave the sliced potato_13_10,FIRST WASH THE POTATO THEN SMALL PIECES OF CUTTING IN MICROWAVE,
Pour wine into a cup_13_10,FIRST FIND OUT WINE THEN POUR WINE INTO THE CUP,
Store food into fridge_13_10,FIRST COLLECT THE FOOD.THEN STORE IN FRIDGE,
Fill up cup with water_13_10,Put Cup Under Dispersion Area and fill the water,
Boil Potato_13_10,FIRST CLEAN THE POTATO AND FILL THE WATER THEN BOIL,
Throw away unused apple slice_13_10,"Firstly, find the apple in the room then check for its condition. If unused apple slices throw it into the bin",
Keep kitchen utensils inside drawer_13_10,put all kitchen bowls is order of the drawer,
Pour away coffee in a cup_13_10,"Find the cup with coffee, then pour it away",
Pour away water from pot_13_10,"Find the pot with water, then pour it away",
Off kitchen light_13_10,all things settle first then switch off the light in kitchen,
Use laptop_203_10,"Move to the laptop, open it and turn it on.",
Watch television_203_10,Walk to the television and turn it on.,
Check the timing on the watch_203_10,Find watch and check time,
Pack things into the box_203_10,"Find box, find newspaper, find bowl, find plate, carry items to box, wrap each item in sheets of newspaper, place in box.",
Throw away used tissuebox_203_10,"Find tissue box, if it's empty, toss in bin",
Turn off the table lamp or desk lamp_203_10,Find the table or desk lamp in the room and turn it off.,
Crack the handphone screen_203_10,"Find cellphone, find watering can, go to coffee table, put cellphone on coffee table and hit screen with watering can.",
Use the handphone_203_10,Find cellphone and hit on button,
Clear the sofa_203_10,"Find sofa, pickup remote and move it somewhere else",
Read a book_203_10,"Find book, carry to sofa, sit down and open book",
