Task,Description,Setting
Make coffee_7_7,Get mug and fill coffeemachine,
Wash Dishes_7_7,"Turn on faucet and fill sink, pour soap from soap bottle, take sponge and wash dishes",
Prepare sliced apple_7_7,take a knife and slice the apple,
Toast a bread_7_7,get bread slice it and put bread in toaster,
Fry an egg_7_7,"get pan and put on stove, get egg from refrigerator, crack egg and flip egg with spatula",
Make tomato soup_7_7,"Get tomato from refrigerator, boil it, take rest of tomato and throw in the bin, put in bowl and use spoon",
Make lettuce soup_7_7,"Take lettuce from Refridgerator, take pan put in lettuce with water, turn on stove knob and boil",
Boil water with pot_7_7,"put water in the pot and place on stove, turn on stove knob until boil and turn off when done",
Throw away cracked egg_7_7,Put crack egg in bin,
Clear the fridge_7_7,Take all items from the fridge and shelves and put on countertop,
Microwave the sliced potato_20_7,slice potato and place on dish put in microwave and turn it on.,
Pour wine into a cup_20_7,pour wine from bottle into a cup,
Store food into fridge_20_7,place food in containers and place in refrigerator,
Fill up cup with water_20_7,pour water into a cup,
Boil Potato_20_7,boil potato in a pot on a stove,
Throw away unused apple slice_20_7,place unused apple slices into a bin,
Keep kitchen utensils inside drawer_20_7,"place knife, spatula and spoon into a drawer",
Pour away coffee in a cup_20_7,pour coffee from coffeemachine into a cup,
Pour away water from pot_20_7,take pot and pour water from it into a sink,
Off kitchen light_20_7,turn off light switch,
Use laptop_201_7,Go to the coffee table. Pick up the laptop. Turn it on.,
Watch television_201_7,"Go to the table, get the remote. Walk to the sofa, point it at the TV. Turn it on.",
Check the timing on the watch_201_7,Find the watch. Look at the watch to make sure the timing is correct.,
Pack things into the box_225_7,"Locate the credit card, key chain, remote and tissue box and place those items into the box.",
Throw away used tissuebox_225_7,Locate the used tissue box. Place the used tissue box in the bin.,
Turn off the table lamp or desk lamp_218_7,Locate desklamp in room. Walk to desklamp. Turn desk lamp off.,
Crack the handphone screen_218_7,Locate cellphone in room. Pick up cellphone. Crack the cellphone.,
Use the handphone_218_7,Locate cellphone in room. Pick up cellphone. Use cellphone.,
Clear the sofa_218_7,Locate sofa in room. Pick pillow up off of sofa. Remove it from sofa.,
Read a book_224_7,Walk to the dresser. Pick up book. Walk to arm chair. Close laptop. Pick up laptop. Walk to end table. Place laptop on end table. Walk to arm chair. Sit in arm chair. Hold book with cover up. Open book to first page with writing.,
