Task,Description,Setting
Make coffee_4_9,take a cup and take a coffee in coffeemachine.,
Wash Dishes_4_9,take a dirty plates and bowls wash in sink.,
Prepare sliced apple_4_9,Take a apple and cut the slice using knife and serve it plate.,
Toast a bread_4_9,take a bread and tosted into pan serve in plate.,
Fry an egg_4_9,take egg beat a egg in bowl fry in to pan serve in plate,
Make tomato soup_4_9,take tomatoes in bowl into stoveknob and serve it bowl and spoon.,
Make lettuce soup_4_9,Take the pot from the table. Add water to the pot from the faucet. Place the pot on the stove and turn it on.,
Boil water with pot_4_9,take a water in the pot and put on stove knob the boil water was ready.,
Throw away cracked egg_4_9,take cracked egg and throw in bin,
Clear the fridge_4_9,clear the fridge of all food,
Microwave the sliced potato_16_9,First take a potato and wash it. Cut potato into slices using knife. Transfer sliced potatoes in to a bowl. Bake the potatoes in the microwave oven at desired temperature.,
Pour wine into a cup_16_9,Firstly take a clean cup. Open the wine bottle and pour required quantity of wine in to the cup.,
Store food into fridge_16_9,"Take food which is to be kept into fridge. Open the fridge door, keep the food into fridge and close the fridge door.",
Fill up cup with water_16_9,Take a clean cup. Take the water mug and pour required water into the cup.,
Boil Potato_16_9,Retrieve potato. Get the pot. Wash off the potato. Place potato in pot. Go to the sink. Turn on the faucet. Fill the pot with water. Turn off the faucet.,
Throw away unused apple slice_16_9,Take all unused apple slices and throw them into the bin.,
Keep kitchen utensils inside drawer_16_9,"Take all the kitchen utensils (knife, butter knife, spatula, fork etc) to be kept inside the drawer. Open the drawer, keep all the utensils inside the drawer and then close the drawer.",
Pour away coffee in a cup_16_9,Take the cup coffee and pour it into the sink.,
Pour away water from pot_16_9,Take the pot and pour away water inside it into sink.,
Off kitchen light_16_9,Switch off the light switch in the kitchen.,
Use laptop_202_9,Find the laptop on the table and turn it on.,
Watch television_202_9,"Firstly, go to the coffee Table then pick the Remote and turn on the Television. Watch television",
Check the timing on the watch_202_9,"Firstly, go to the Television Table then pick the watch and check the timing.",
Pack things into the box_201_9,"FIRST COLLECT THE THINGS YOU WANT TO PACK , OPEN THE BOX , PUT THE THINGS INSIDE THE BOX ACCORDING TO THE RESPECTED SIZE .",
Throw away used tissuebox_201_9,"LOOK AROUND THE ROOM FIND THE TISSUE BOX CHECK WHETHER IT IS EMPTY , IF EMPTY THROW IT INTO THE BIN",
Turn off the table lamp or desk lamp_204_9,First locate the switch of the table lamp. Then switch of the table lamp,
Crack the handphone screen_204_9,Drop the phone from a height and see if it cracks,
Use the handphone_204_9,First take the hand phone. Then dial a number from that hand phone,
Clear the sofa_204_9,First to near to the sofa. Then clear the sofa,
Read a book_201_9,Locate book. Pick book up and take to sofa. Sit on sofa and read book.,
