Task,Description,Setting
Make coffee_1_5,Place the cup on coffee maker. Turn on the coffee machine to make coffee.,
Wash Dishes_1_5,Put the dirty plates in sinkbasin and use the dish sponge to clean.,
Prepare sliced apple_1_5,Take knife and cut apple,
Toast a bread_1_5,Place bread into toaster and turn on,
Fry an egg_1_5,Take pan and place on stove. Turn on gas burner with stove knob. Crack egg into pan after pan is hot. Use spatula to lift egg off pan once cooked and place on plate.,
Make tomato soup_1_5,Cut tomato with knife into slices. Fill a pot with water. Place pot with water on gasburner. Turn gasburner on. Add tomato slices to the pot. Leave to cook for 5 minutes. Turn off gasburner. ,
Make lettuce soup_1_5,Cut lettuce with knife into slices. Add lettuce slices to the pot. Leave to cook for 5 minutes. Turn off gasburner.,
Boil water with pot_1_5,Take pot to sink and add water. Put pot on stove. Turn on gas burner with stove knob. Boil water. ,
Throw away cracked egg_1_5,Take the bin. Throw away the creacked eggs.,
Clear the fridge_1_5,Open fridge door and remove everything and place items on countertop.,
Microwave the sliced potato_13_5,Cut the potato using knife and microwave,
Pour wine into a cup_13_5,Take the WineBottle and pour into cup,
Store food into fridge_13_5,"Take apple,bread ,egg,lettuce,tomato and WineBottle and store in fridge.",
Fill up cup with water_13_5,Take the cup and fill with water,
Boil Potato_13_5,Take the potato and boil in a pot filled with water.,
Throw away unused apple slice_13_5,Throw the unused apple slices into the bin.,
Keep kitchen utensils inside drawer_13_5,"firstly, select all the kitchen utensils and keep those in drawer",
Pour away coffee in a cup_13_5,"firstly, check for the cup with coffee and then pour away",
Pour away water from pot_13_5,check for the pot with water and then pour it away,
Off kitchen light_13_5,go to the kitchen and switch off the kitchen light if it is on,
Use laptop_203_5,"Find the laptop, open it and turn it on.",
Watch television_203_5,Walk to sofa. Pick up remote. Aim remote at the television. Press the power button on the remote. Sit down on sofa. Watch the television.,
Check the timing on the watch_203_5,Walk to coffee table. Pick up watch. Look at watch's screen. Read the time on the watch.,
Pack things into the box_203_5,Walk to the end table. Pick up the vase and tissue box. Walk to the box. Place the vase and tissue box in the box. Close the box.,
Throw away used tissuebox_203_5,Walk to end table. Observe if tissue box is used. Pick up used tissue box. Walk to bin. Open bin. Drop used tissue box in bin. Close bin.,
Turn off the table lamp or desk lamp_203_5,"Walk to the lamps, and switch it off.",
Crack the handphone screen_203_5,Locate cell phone. Walk to cell phone. Pick up cell phone. Walk to coffee table. Hold cell phone's screen face down. Hit the cell phone's screen against the coffee table.,
Use the handphone_203_5,Locate the cell phone. Walk to the cell phone. Pick up the cell phone. Press the power button. Interact with the cell phone's display.,
Clear the sofa_203_5,Walk to sofa. Pick up the remote and pillow. Turn around. Place the remote and pillow on the coffee table.,
Read a book_203_5,Pick up the book on the long table and go over to the sofa to read it.,
