Task,Description,Setting
Make coffee_2_10,Locate pot in room. Take pot to sink. Turn on faucet and fill pot with water. Carry pot to coffeemachine. Pour water into coffeemachine. Turn coffemachine on.,
Wash Dishes_2_10,Place dirty plates & bowls in sinkbasin. Turn on the faucet knobs. Take soapbottle and pour soap into sinkbasin. Wash dishes with the dishsponge.,
Prepare sliced apple_2_10,Find apple on the countertop. Take it over to the other counterop with the knife. Slice the apple with the knife.,
Toast a bread_2_10,Find bread on the countertop. Find knife next to the sink. Slice two pieces of bread. Place bread into the toaster. Turn on the toaster to desired settings. q,
Fry an egg_2_10,"Find pan and place onto a gasburner of the stoveknobrange. Find egg, bowl, saltshaker, peppershake, and fork on countertop. Crack the egg into the bowl. Shake saltshaker and peppershaker over the bowl. Whisk egg with the fork. Turn on the gasburner. Pour contents of the bowl into the pan. Find spatula in the room. Use the spatula to cook the egg.",
Make tomato soup_2_10,Find tomato on countertop. Find the knife near the sink and use it to cut up the tomato. Find the pot and place cut tomato inside. Take pot to the sink and turn on the faucet. Find saltshaker and peppershaker and shake them over the pot. Place the pot on a gaseburner of the stoveknobrange. Turn on the gaseburner. Find spoon on countertop. Stir contents inside the pot as needed.,
Make lettuce soup_2_10,"Find the lettuce in the room, cut it down and put it into a pot with water for cooking.",
Boil water with pot_2_10,Find pot in the room. Walk over to the sink. Place pot in sinkbasin. Turn on the faucet to fill pot with water. Place pot on gasburner. Turn on the stoveknobrange.,
Throw away cracked egg_2_10,Find the cracked egg and throw it into the bin,
Clear the fridge_2_10,Walk over to the fridge. Open the fridge. Place contents on countertop. Find any spoiled content and place into bin.,
Microwave the sliced potato_15_10,"Find a potato and slice them using a knife,put it into an Microwave oven.",
Pour wine into a cup_15_10,Find the wine bottle and pour some wine into a cup.,
Store food into fridge_15_10,Find the food items and keep them inside the fridge.,
Fill up cup with water_15_10,Find the cup and fill it with water from the faucet.,
Boil Potato_15_10,"Find a fresh potato,put it in a bowl with some water and keep it on stove for boiling.",
Throw away unused apple slice_15_10,Find the apple slices and if they are of no use then throw them in the bin.,
Keep kitchen utensils inside drawer_15_10,Collect all the utensils from counter top and keep them in a drawer.,
Pour away coffee in a cup_15_10,Find the cup with coffee and throw it in a sink basin.,
Pour away water from pot_15_10,Find the pot on the counter top and throw the water in it in the sink basin.,
Off kitchen light_15_10,Find the light switch and turn it off.,
Use laptop_219_10,Walk to dresser. Pick up laptop. Walk to arm chair. Sit in arm chair. Place laptop on lap. Open laptop. Turn it on.,
Watch television_219_10,Walk to television. Observe switch. Activate television. Walk to arm chair. Turn around. Sit in arm chair. Observe television.,
Check the timing on the watch_219_10,Walk to dresser. Pick up watch. Observe time on watch.,
Pack things into the box_219_10,"Locate watch. Walk to watch. Pick up watch. Locate remote. Walk to remote. Pick up remote. Locate keychain. Walk to keychain. Pick up keychain. Locate credit card. Walk to credit card. Pick up credit card. Locate cell phone. Walk to cell phone. Pick up cell phone. Walk to box. Place watch, remote, keychain, credit card, and cell phone in box. Close box.",
Throw away used tissuebox_219_10,Walk to dresser. Observe if tissue box is used. Pick up used tissue box. Walk to bin. Place used tissue box in bin.,
Turn off the table lamp or desk lamp_219_10,walk to the floor lamp and turn it off.,
Crack the handphone screen_219_10,Locate cellphone. Take cellphone to dresser. Strike screen of cellphone against corner of dresser until the screen is cracked.,
Use the handphone_219_10,Locate cell phone. Walk to cell phone. Pick up cell phone. Press button on cell phone to activate cell phone. Interact with cell phone's screen.,
Clear the sofa_219_10,Walk to sofa. Observe if sofa is clear. If not clear the items on the sofa.,
Read a book_202_10,Find the book and open it to read,
