Task,Description,Setting
Make coffee_1_7,Add water To coffee machine and Turn it on,
Wash Dishes_1_7,"put dirty plates and bowls in sink, fill with water add dish soap and scrub them",
Prepare sliced apple_1_7,Take the apple from the countertop. Then take knife and bowl. Cut the apple and put the pieces in bowl.,
Toast a bread_1_7,Take the bread from the table. Then cut it with a knife. On it in the toaster. Then toast the bread.,
Fry an egg_1_7,Take eggs. On the stove. heat the pan. Then break the eggs and fry it.,
Make tomato soup_1_7,"Find the tomato, slice them and boil it in a pot of water",
Make lettuce soup_1_7,"Take the lettuce out of the fridge and wash it , chop the lettuce and put it in a pot. Place the pot on the gas burner and turn on the stove knob and add the ingredients and water and boil it and stir it well with the spoon . Use salt shaker and pepper shaker to add salt and pepper .When the water content evaporates and lettuce boiled enough the soup is ready.",
Boil water with pot_1_7,Take the pot. Fill it with water from faucet. Turn on the gas burner. then heat the water pot to boil it.,
Throw away cracked egg_1_7,"Take eggshell leftover from fried egg, Throw in trashcan",
Clear the fridge_1_7,Open the fridge. Check for unused items. Then clean it.,
Microwave the sliced potato_13_7,First find the potato and knife. Use the knife to make slices of potato. take a cup and fill the sliced potato and kept it in the microwave. Switch on the microwave oven to cook the sliced potato.,
Pour wine into a cup_13_7,Find the wine bottle first and take a cup. Pour the wine which is in wine bottle into the cup.,
Store food into fridge_13_7,"Look for any food items like apple, bread, egg, lettuce, potato, tomato wine bottle , if it is kept outside please take those items and kept it into the fridge.",
Fill up cup with water_13_7,Find the cup in kitchen and fill with water from the facuet.,
Boil Potato_13_7,find potato and cup. Fill water in the cup and put the potato in that cup. Boil it in microwave.,
Throw away unused apple slice_13_7,Search for remaining apple which is unused and throw that into the bin.,
Keep kitchen utensils inside drawer_13_7,Find the all kitchen utensils in the kitchen and open the drawer. keep all the utensils there in the drawer and close the drawer,
Pour away coffee in a cup_13_7,Take a cup which is filled with coffee. Pour the coffee in the sink.,
Pour away water from pot_13_7,find a pot with the water and take that pot. Pour the water in the pot into the sink.,
Off kitchen light_13_7,Find the switch box in the kitchen and switch off the kitchen light.,
Use laptop_203_7,"Pick up the laptop from the coffee table, then sit down on the sofa and turn the laptop on.",
Watch television_203_7,turn on television. Sit down on sofa to watch television.,
Check the timing on the watch_203_7,Locate watch. Look at watch to check time.,
Pack things into the box_203_7,Find box in room. Pick up book. Put book into box. Pick up laptop. Put laptop into box. Pick up pillow. Put pillow into box. Close box.,
Throw away used tissuebox_203_7,"Locate tissuebox in room. Check tissuebox to see if it has been used up. If so, throw it into bin.",
Turn off the table lamp or desk lamp_203_7,Locate table lamp. Use lightswitch on lamp to turn it off.,
Crack the handphone screen_203_7,Throw the phone until it crack,
Use the handphone_203_7,Find cellphone in room. Pick up cellphone. Use cellphone.,
Clear the sofa_203_7,Move to sofa. Remove remote from sofa.,
Read a book_203_7,Find book in room. Take book to sofa and sit down. Open book and read.,
