Task,Description,Setting
Make coffee_7_1,first take the coffee machine and add some wattle in it then switch it on,
Wash Dishes_7_1,"take the dirty dishes and put them into the sink, then open the sink faucet so that water runs out and then add some soap from the soap bottle. then take the dish sponge and rub it on the dirty plates",
Prepare sliced apple_7_1,"take the apple and place it on a plate on the counter, the take a knife and start cutting the apple into slices",
Toast a bread_7_1,"take the toaster and place it on the counter, then take the bread and place it in the toaster then turn the toaster on and set the time",
Fry an egg_7_1,"first take a pan and put it on the stove, light the gas, then take the egg and a spoon which you use to break the egg and pour it on the pan. the take the salt in the salt shaker and shake some on the egg and use the spoon to roll the egg",
Make tomato soup_7_1,"take the tomato and cut it into small pieces using a knife on the counter top, then put it into the pot and place the pot on the stove and light it. then add some salt from the salt shaker and water from the sink. use a spoon to stir",
Make lettuce soup_7_1,"cut a tomato into pieces using a knife, the cut the lettuce into smaller pieces. put the tomato in a pot and put it on the stove and turn it on, use a spoon to stir. then add the lettuce and some salt then some water from the sink",
Boil water with pot_7_1,first fill the pot with water from the sink then place it on the stove and turn on the stove. let the water heat until it boils,
Throw away cracked egg_7_1,first take egg and check whether it is cracked. if cracked then throw it in the bin,
Clear the fridge_7_1,open the fridge door and the take out the food stuffs inside and throw away into the bin the ones that are no longer needed,
Microwave the sliced potato_20_1,Find the microwave. Then put the sliced potato in to cook it,
Pour wine into a cup_20_1,Find the cup and then pour wine into the cup,
Store food into fridge_20_1,Open the fridge and keep the food inside it,
Fill up cup with water_20_1,Take a cup. The fill the cup with water,
Boil Potato_20_1,Take the potato. put the potato on hot water to boil it,
Throw away unused apple slice_20_1,Collect the unused apple slices. Then throw those unused slices away,
Keep kitchen utensils inside drawer_20_1,Collect all utensils. Then keep those utensils in drawer,
Pour away coffee in a cup_20_1,Find the cup with coffee. Then pour away the coffee from the cup,
Pour away water from pot_20_1,Find the pot first. Then pour away the water from the pot,
Off kitchen light_20_1,Find the switch for the kitchen light fist. Then switch the off the kitchen light,
Use laptop_201_1,"Find the laptop, turn it on.",
Watch television_201_1,FIRSTLY FIND REMOTE OF THE TELEVISION AND THEN SWITCH ON IT,
Check the timing on the watch_201_1,"Find the watch, and read off the time on the watch",
Pack things into the box_225_1,"Firstly, find the CreditCard, Keychain, Newspaper, and Remote. Secondly, find the box. Place the CreditCard, Keychain, Newspaper, and Remote inside of the box.",
Throw away used tissuebox_225_1,"Firstly, find the TissueBox. If used, throw the TissueBox into the bin.",
Turn off the table lamp or desk lamp_218_1,Walk to table. Observe switch on lamp. Activate switch.,
Crack the handphone screen_218_1,Use waving statue to break the hand phone screen,
Use the handphone_218_1,Find the phone in the room and turn it on to use.,
Clear the sofa_218_1,take the pillow from sofa and clear it.,
Read a book_224_1,"Find the book beside the television,pick it up to read.",
