Task,Description,Setting
Turn off the living room light_224_9,Walk to floor lamp. Observe how to activate floor lamp. Activate floor lamp. Walk to desk lamp. Observe how to activate desk lamp. Activate desk lamp.,
Crack the window_224_9,Find VaseOpen. Pick up VaseOpen and tap hard against the window.,
Open Blinds_304_9,"first check the blinds, its open now. so close the blinds.",
Clean the bed_304_9,Find the bed and check if it is dirty. If is dirty clean it.,
Keep sporting equipment_304_9,Take the sporting equipment. Then keep the equipment.,
Break the mirror_302_9,Walk to desk. Pick up book. Turn to face mirror. Throw book at mirror.,
Turn off all the bedroom light_302_9,Walk to desk. Observe lamp status. Observe how to activate lamp. Activate lamp.,
Clear the bed_302_9,"Walk to bed. Pick up teddy bear, and pillow. Place teddy bear and pillow on floor.",
Close the blinds_302_9,Walk to window. Observe blinds. Observe how to activate blinds. Activate blinds.,
Put off a candle_413_9,Blow out the candle that is on the counter top.,
sink towel in water_413_9,Pick up the towel from the hand towel holder and place it in the sink and turn the faucet on.,
Fill the sink with water_413_9,open the bath room faucet and let water flow into the sink basin until it is full,
Clean the mirror_413_9,Spray water from the spray bottle on the mirror and wipe it using had towel.,
Throw away used toilet roll and soap bottle_411_9,Find toilet roll/ and soap bottle in the room. Check if used. If used throw them in the bin.,
Hand towel on towelholder_411_9,"Firstly, find HandTowelHolder.Hang HandTowel in the HandTowelHolder.",
Turn on shower head_411_9,Find bathtub in the room. Find ShowerHead. Turn on the ShowerHead to release water.,
Break shower glass_411_9,"Find plunger in the room, Take it near the ShowerGlass. Hit ShowerGlass with plunger until glass is broken.",
Keep valuable items in safe_309_9,"Firstly find all the valuable items (like cell phone, credit card, laptop etc) and keep all of them safely in the cabinet/drawer.",
Water the houseplant_209_9,Locate wateringcan. Pick up wateringcan. Locate houseplant. Walk to houseplant. Pour water from wateringcan into houseplant.,
Boil water with a kettle_7_9,Take some fresh water and find the kettle in this room.boil the water on the counter top.,
Fill up the bathtub with water_402_9,Turn on the bathtub faucet. Fill up the bathtub basin with water. Turn off the bathtub faucet.,
Close the shower curtain_422_9,Walk to the bathroom. Go to the shower. Grab the curtains and close them.,
Make a breakfast_1_9,"Firstly pour milk into the coffee machine. Switch on the coffee machine, prepare coffee and switch off the machine. Add sugar to taste. Next place a pan on the stove (gas burner) and keep the stove knob in simmer. Take and egg and break it into the pan. Let it fry and stir occasionally with spatula. Add salt (using salt shaker) and pepper (using pepper shaker) to taste. Next take a bread and place it in the toaster. Switch on the toaster, let the bread toast and then switch off the toaster.",
Find the egg in the room_1_9,find the egg inside the fridge,
Wash all the utensils_13_9,"collect the spoon, spatula,pot,plate,pan,mug ,bowl and put it in sink basin and wash it using the dish sponge.",
Turn on all the floor lamp_201_9,turn on all the floor lamp.given they are light switch.,
Wash dirty cloths_430_9,"Collect dirty cloths such as bath towel, cloth and wash it.",
