Task,Description,Setting
Turn off the living room light_202_4,"Walk to the light switch by the door, flick it down.",
Crack the window_205_4,"Walk to the table, grab the remote. Walk to the curtains, open them. Hit the window with the remote until it cracks.",
Open Blinds_301_4,"GO TO THE LIVING AREA , LOWER THE CURTAINS",
Clean the bed_301_4,GO TO THE BEDROOM . TAKE A PILLOW AND KEEP IT IN THE SHELF AND CLEAN THE BED,
Keep sporting equipment_301_4,Use the basketball bar regularly in sports,
Break the mirror_308_4,Use the bowl that is on the desk to crack the window.,
Turn off all the bedroom light_308_4,Locate light switch. Walk to light switch. Observe how to activate light switch. Activate light switch.,
Clear the bed_308_4,"Firstly , find the bed , if the bed is filled with some things like cellphone , pen, pencil, pillow , then clear the bed.",
Close the blinds_308_4,GO TO LIVING AREA LOWER DOWN THE CURTAINS,
Put off a candle_409_4,Find the facuet and on it then put the candle under it.,
sink towel in water_409_4,fill the sink with some water then put the towel in it,
Fill the sink with water_409_4,"Go to the sink, turn on the stopper. turn the knob, fill the sink, turn off the water.",
Clean the mirror_409_4,"Get window cleaner and paper towel, go to the mirror, spray cleaner on mirror, wipe away cleaner with paper towel.",
Throw away used toilet roll and soap bottle_403_4,"Pick up the SoapBottle on the sink and walk it to the bin. Throw it into the bin. Then, pick up the ToiletPaperUsedUp and throw it in the bin.",
Hand towel on towelholder_403_4,"First, pick up the HandTowel and then place it on the HandTowelHolder.",
Turn on shower head_403_4,"Walk to the BathTubFaucet and set it to the shower setting. Then, turn it on.",
Break shower glass_403_4,Pick up the SoapBottle and throw it at the ShowerGlass breaking it.,
Keep valuable items in safe_204_4,Check the valuable items and locate the safe and place the valuable items in the safe,
Water the houseplant_204_4,Take the watering can to the houseplant. Then pour the water from watering can to the houseplant,
Keep box inside safe_204_4,First take the box. Then keep the box in a safe place,
Collect dirty cloths_307_4,Find some clothes and if they are dirty put them inside the laundry hamper.,
Boil water with a kettle_17_4,"firstly fill the water of kettle,next switch on for kettle, boil the water",
Fill up the bathtub with water_411_4,"first cleaning for bathtub, next fill up the bathtub with water",
Close the shower curtain_415_4,GO TO BATHROOM . WHILE TAKING BATH CLOSE THE SHOWER CURTAIN,
Make a breakfast_5_8,"Firstly pour milk into the coffee machine. Switch on the coffee machine, prepare coffee and then switch it off.Next take a pan and put it on the gas burner. Turn the stove knob to simmer. Take an egg and beat it on the pan and let it fry for some time. Then stir it well with a spatula. Add salt (from salt shaker) and pepper (from pepper shaker) to taste. Then turn off the stove knob.Finally take a bread and place it in the toaster. Switch on the toaster, let the bread get toasted and then switch it off.",
Find the egg in the room_10_8,Open the fridge door and search for the egg. Take out the egg and then close the fridge door.,
Wash all the utensils_17_8,Firstly place all the utensils in the sink basin. Take a little amount of soap from soap bottle and clean the utensils using dish sponge. Wash off the utensils with water neatly.,
Turn on all the floor lamp_213_8,Switch on all the floor lamp to turn them on.,
Wash dirty cloths_426_8,Firstly collect all dirty cloths and let them soak in soap water (take required amount of soap from soap bottle) for some time. Apply soap bar on the clothes one by one. Scrub stains / dirt (if any) using the scrub brush. Then rinse the clothes well with water until the dirt is gone. Twist the clothes to let out excess water and let them dry.,
Make coffee_9_1,Find the mug and bring it to the coffeemachine to make coffee,
