Task,Description,Setting
Turn off the living room light_202_2,Locate light switch. Walk to light switch. Observe how light switch operates. Activate light switch.,
Crack the window_205_2,Walk to table. Pick up waving statue. Face window. Throw waving statue at window.,
Open Blinds_301_2,Find the blinds and then open them,
Clean the bed_301_2,Find the bed and clean it,
Keep sporting equipment_301_2,Try to put most of the sports equipment inside drawers and cabinet.,
Break the mirror_308_2,Find the basketball in the room and throw it at the window,
Turn off all the bedroom light_308_2,Find the lightswitch. Turn it to the off position.,
Clear the bed_308_2,Walk over to the bed. Remove any items from the bed.,
Close the blinds_308_2,"GO TO THE LIVING ROOM , LOWER THE CURTAINS DOWN .",
Put off a candle_409_2,Find the candle. Blow the candle out.,
sink towel in water_409_2,Walk to the sink. Turn the faucet on until the sink is filled. Put the towel in it. Wait for it to sink.,
Fill the sink with water_409_2,Turn on the sink tap and fill the sink basin with water. Then turn off the sink tap.,
Clean the mirror_409_2,Firstly spray cleaning liquid from the spray bottle on the mirror. Then clean the mirror with the cloth.,
Throw away used toilet roll and soap bottle_403_2,Firstly see if the toilet roll and soap bottle are completely used. Then throw them away in the bin.,
Hand towel on towelholder_403_2,Take the towel and hang it on the towel holder.,
Turn on shower head_403_2,Open the shower door and use the shower head knob to turn on the shower head.,
Break shower glass_403_2,"Take anything in the room which can be picked and used (like soap bottle, spray bottle etc) and hit the shower glass very hard to break it.",
Keep valuable items in safe_204_2,Place watch inside safe. Place creditcard inside safe. Close safe door. Lock safe.,
Water the houseplant_204_2,Find the watering can to water the house plant behind the sofa.,
Keep box inside safe_204_2,Pack the box and keep it inside the safe.,
Collect dirty cloths_307_2,Search for all the dirty cloths in the room. Collect them one by one. Take them to the Laundry Hamper. Open it and put the dirty cloth inside it. Then close it.,
Boil water with a kettle_17_2,"find kettle, put water into kettle, take kettle to stove, put kettle on stove, turn on burner with kettle, wait for water to boil.",
Fill up the bathtub with water_411_2,"go to bathroom, go to bath tub basin, turn on bathtub faucet",
Close the shower curtain_415_2,Walk to the shower. Grab the curtain and close it.,
Make a breakfast_5_8,"Make a cup of coffee, toast a slice of bread and make a fry egg",
Find the egg in the room_10_8,Locate the egg in the room,
Wash all the utensils_17_8,Bring the fork and spoon and knife to the sink and wash them,
Turn on all the floor lamp_213_8,Find the lamp and switch it on,
Wash dirty cloths_426_8,Find the dirty cloth and run it through water from facuet,
Make coffee_9_1,Find the mug in the room and make coffee,
