Task,Description,Setting
Turn off the living room light_209_4,Switch off the light switch in the living room.,
Crack the window_209_4,Find the remote in the room and throw it at the window,
Open Blinds_303_4,Locate the blinds. Then open the blinds,
Clean the bed_303_4,"Take the newspaper, laptop and remote from the bed and place them all on the desk. Then clean the bed",
Keep sporting equipment_303_4,Pick up the basketball laying on the bean bag chair. The walk over to the bedroom door and pick up the baseball bat. Place both items under the bed.,
Break the mirror_301_4,Firstly take the baseball bat/alarm clock (because these can be picked up and used). Then hit the mirror hard with any of these things to break it.,
Turn off all the bedroom light_301_4,Locate the bedroom light switches. Then turn off all the bedroom lights,
Clear the bed_301_4,Remove any item that is on or covering the bed.,
Close the blinds_301_4,Go to the window. Pull down the blinds so that the window is covered.,
Put off a candle_412_4,Put the candle under running water.,
sink towel in water_412_4,GO TO THE BATHROOM .TAKE A TOWEL. POUR WATER IN THE SINK . THEN SINK TOWEL IN WATER.,
Fill the sink with water_412_4,GO TO THE BATHROOM . OPEN THE SINK TAP . THE WATER WLL BE FILLED IN THE SINK .,
Clean the mirror_412_4,TAKE A CLOTH . GO AND STAND NEAR THE MIRROR .NOW CLEAN THE MIRROR WITH THE CLOTH,
Throw away used toilet roll and soap bottle_409_4,Fist collect used toilet roll and soap bottles. Then throw away then into bin,
Hand towel on towelholder_409_4,Walk to the hand towel holder. Take the hand towel off of it.,
Turn on shower head_409_4,Go near to the shower head. Then turn on shower head,
Break shower glass_409_4,Take a small tool and go near to the shower glass. Then break the shower glass,
Keep valuable items in safe_308_4,"Collect all the valuable items such as creditcard, laptop and keep it in the drawer.",
Water the houseplant_218_4,Find watering can in room. Walk over to the houseplant and pour water inside.,
Boil water with a kettle_5_4,Fill the water into the kettle. Plug the kettle and set the temperature. Then switch on the kettle until water is boiled.,
Fill up the bathtub with water_403_4,Turn on the bathtub faucet. Fill the bathtub basin.,
Close the shower curtain_420_4,Find the shower curtain close to the bath tub and close it if it is open.,
Make a breakfast_2_8,First go to the kitchen. Then make a food for breakfast,
Find the egg in the room_6_8,First go and open the fridge. Then find the egg inside the room,
Wash all the utensils_15_8,Collect all the utensils first. Then wash all the utensils,
Turn on all the floor lamp_204_8,First locate the switches of all the floor lamp. Then turn on all the floor lamp,
Wash dirty cloths_429_8,Collect all the dirty cloths first. Then wash the dirty cloths,
Hide the egg_3_1,Find egg and hide it inside the bin,
Hide the egg_13_1,Locate egg and put it into the fridge,
Hide the egg_12_1,Find the egg and hide it inside pot ,
